#HOLE:,U1520B
#EXPEDITION:,372
#TOP:,0.1079
#BOTTOM:,749.0018
DEPTH_LSF,P16B,P16H,P16L,P22B,P22H,P22L,P28B,P28H,P28L,P34B,P34H,P34L,P40B,P40H,P40L
m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m
5.4419,0.3,0.9078116,0.3,0.2533309,1.040181,0.2533309,0.3,1.129431,0.3,0.4953637,0.5672966,0.4953637,0.4642112,0.3303295,0.4642112
5.5943,0.3,0.9098037,0.3,0.2533686,1.043027,0.2533686,0.3,1.135532,0.3,0.4953946,0.5702273,0.4953946,0.4642406,0.3307166,0.4642406
5.7467,0.3,0.9106986,0.3,0.2534015,1.046072,0.2534015,0.3,1.139576,0.3,0.4953003,0.5712106,0.4953003,0.4641852,0.3307773,0.4641852
5.8991,0.3,0.9026965,0.3,0.2530617,1.035526,0.2530617,0.3,1.131222,0.3,0.4949714,0.5717581,0.4949714,0.4640565,0.3314351,0.4640565
6.0515,0.3,0.891713,0.3,0.2532614,1.032073,0.2532614,0.3,1.125223,0.3,0.4951659,0.5654121,0.4951659,0.4641673,0.3294528,0.4641673
6.2039,0.3,0.8919219,0.3,0.2527905,1.04292,0.2527905,0.3,1.150045,0.3,0.4949834,0.5795906,0.4949834,0.4641024,0.3328967,0.4641024
6.3563,0.3,0.9326817,0.3,0.2527275,1.069387,0.2527275,0.3,1.175959,0.3,0.4949679,0.5896817,0.4949679,0.4640834,0.3348628,0.4640834
6.5087,0.3,0.8871051,0.3,0.253153,1.030782,0.253153,0.3,1.124115,0.3,0.4950218,0.5656834,0.4950218,0.46411,0.3300121,0.46411
6.6611,0.3,0.9634718,0.3,0.2520608,1.090838,0.2520608,0.3,1.197013,0.3,0.494639,0.5981461,0.494639,0.4639409,0.3368398,0.4639409
6.8135,0.3,0.9410385,0.3,0.2522525,1.07414,0.2522524,0.3,1.17604,0.3,0.4947647,0.587122,0.4947647,0.4640052,0.3340491,0.4640052
6.9659,0.3,0.929081,0.3,0.2523553,1.063849,0.2523553,0.3,1.163988,0.3,0.4948429,0.5818521,0.4948429,0.4640537,0.332804,0.4640537
7.1183,0.3,0.9251282,0.3,0.2523375,1.061424,0.2523375,0.3,1.161032,0.3,0.4947735,0.5809478,0.4947735,0.4640125,0.3328559,0.4640125
7.2707,0.3,0.9537037,0.3,0.2521065,1.082078,0.2521065,0.3,1.184751,0.3,0.4946709,0.5923514,0.4946709,0.4639596,0.3356431,0.4639596
7.4231,0.9377344,0.8888894,0.9377344,0.9415171,0.9074524,0.9415171,0.9502559,0.9204853,0.9502559,0.960499,0.9243783,0.960499,0.9670808,0.9251136,0.9670808
7.5755,0.9421906,0.9522647,0.9421906,0.96172,0.9622865,0.9617199,0.9732696,0.9739386,0.9732693,0.9794191,0.9806272,0.9794189,0.9874955,0.9806738,0.9874955
7.7279,0.9899591,1.008372,0.9899583,0.9988269,1.027598,0.9988264,1.007422,1.043157,1.007163,1.011539,1.052764,1.011076,1.010972,1.060635,1.010447
7.8803,0.9398756,0.9406593,0.9398752,0.9541616,0.948342,0.9541613,0.9627044,0.9628538,0.9627039,0.9677855,0.9707659,0.9677851,0.9745688,0.9649031,0.9745687
8.0327,0.9314814,0.933122,0.9314814,0.9446743,0.9467976,0.9446743,0.9494596,0.9516847,0.9494595,0.9544516,0.9554796,0.9544515,0.9674998,0.9674486,0.9674998
8.1851,0.9118303,0.9162492,0.9118301,0.9208516,0.9260095,0.9208512,0.9250922,0.9249255,0.9250919,0.9274348,0.9217891,0.9274344,0.9321988,0.9275759,0.9321988
8.3375,0.8992055,0.8978043,0.8992054,0.9095125,0.9077471,0.9095125,0.9171547,0.917818,0.9171547,0.9200457,0.9235972,0.9200457,0.9204265,0.9249906,0.9204265
8.4899,0.9014091,0.909356,0.9014091,0.9147866,0.9109099,0.9147866,0.9189469,0.9131932,0.9189469,0.923263,0.9150053,0.923263,0.9364097,0.9155905,0.9364097
8.6423,0.9043443,0.8918149,0.9043443,0.9173828,0.9109629,0.9173828,0.9274335,0.9147944,0.9274335,0.9350205,0.9101211,0.9350205,0.9426401,0.9127513,0.9426401
8.7947,0.933912,0.9352975,0.9339114,0.9460652,0.9543036,0.9460646,0.9539595,0.9670525,0.953959,0.9555337,0.9694422,0.9555335,0.9545671,0.9681632,0.9545671
8.9471,0.8714927,0.8342812,0.8714907,0.8861238,0.8512712,0.886122,0.9008759,0.858843,0.9008745,0.908766,0.8649086,0.908765,0.9091247,0.8797689,0.9091247
9.0995,0.9202692,0.8812569,0.9202685,0.9328054,0.8927855,0.9328048,0.9464025,0.9064008,0.9464019,0.9579699,0.9136719,0.9579691,0.9659184,0.9124461,0.9659184
9.2519,0.9503244,0.9484832,0.9503243,0.9659277,0.9732476,0.9659276,0.9725204,0.9857544,0.9725203,0.9722725,0.9872491,0.9722725,0.9735169,0.9908117,0.9735169
9.4043,0.9467397,0.9209748,0.9467397,0.9646173,0.9437666,0.9646173,0.975305,0.9575437,0.975305,0.980354,0.9649645,0.980354,0.9863051,0.9759181,0.9863051
9.5567,0.9451563,0.9163136,0.9451563,0.961462,0.9358064,0.961462,0.974398,0.9458539,0.974398,0.9817582,0.9498757,0.9817582,0.9863137,0.9579636,0.9863137
9.7091,0.9508802,0.911968,0.9508801,0.9653483,0.9433944,0.9653483,0.9726126,0.9625951,0.9726126,0.9724427,0.973535,0.9724427,0.9714566,0.9901411,0.9714566
9.8615,0.9576896,0.9320888,0.9576895,0.9695372,0.9610592,0.9695372,0.9786006,0.9809878,0.9786006,0.9819697,0.989842,0.9819697,0.981956,0.9977755,0.981956
10.0139,0.9492816,0.9397234,0.9492815,0.9718246,0.9551573,0.9718245,0.986457,0.9669852,0.9864569,0.9932172,0.9747052,0.9932172,0.9993431,0.9822646,0.999343
10.1663,1.034317,0.9884492,1.036031,1.037596,1.011298,1.038652,1.041494,1.030643,1.041967,1.040475,1.045667,1.040255,1.033745,1.060321,1.032841
10.3187,0.9449553,0.9307941,0.9449533,0.9622287,0.9453682,0.9622272,0.9724004,0.9557573,0.9723988,0.9771258,0.961469,0.9771241,0.9828641,0.9669913,0.9828634
10.4711,0.978957,0.9285376,0.9789568,1.000484,0.9689295,1.0005,1.014196,0.9937029,1.014497,1.018408,1.003587,1.01869,1.018974,1.016475,1.019022
10.6235,1.044751,1.041516,1.044903,1.069073,1.047756,1.070695,1.074952,1.077622,1.074736,1.070936,1.090156,1.069501,1.074112,1.060036,1.075258
