#HOLE:,U1517A
#EXPEDITION:,372
#TOP:,0.1348
#BOTTOM:,186.3676
DEPTH_LSF,RHON
m,g/cm3
0.1348,1.402081
0.2872,1.385705
0.4396,1.358488
0.5920,1.354235
0.7444,1.368756
0.8968,1.398667
1.0492,1.439892
1.2016,1.494797
1.3540,1.537635
1.5064,1.582692
1.6588,1.609184
1.8112,1.626296
1.9636,1.62507
2.1160,1.64945
2.2684,1.655208
2.4208,1.659536
2.5732,1.651868
2.7256,1.64136
2.8780,1.625059
3.0304,1.617731
3.1828,1.601983
3.3352,1.597065
3.4876,1.583696
3.6400,1.588094
3.7924,1.621074
3.9448,1.65182
4.0972,1.661049
4.2496,1.6663
4.4020,1.656062
4.5544,1.630238
4.7068,1.60548
4.8592,1.577388
5.0116,1.537319
5.1640,1.519777
5.3164,1.516304
5.4688,1.51083
5.6212,1.522443
5.7736,1.54758
5.9260,1.59317
6.0784,1.628361
6.2308,1.654901
6.3832,1.696134
6.5356,1.728861
6.6880,1.754663
6.8404,1.784885
6.9928,1.813995
7.1452,1.808178
7.2976,1.795814
7.4500,1.769461
7.6024,1.766836
7.7548,1.748323
7.9072,1.751403
8.0596,1.741971
8.2120,1.739772
8.3644,1.725777
8.5168,1.712252
8.6692,1.699324
8.8216,1.693417
8.9740,1.644134
9.1264,1.615884
9.2788,1.573723
9.4312,1.523181
9.5836,1.488576
9.7360,1.487156
9.8884,1.47901
10.0408,1.525504
10.1932,1.575535
10.3456,1.609168
10.4980,1.631618
10.6504,1.635786
10.8028,1.622766
10.9552,1.624099
11.1076,1.610345
11.2600,1.600772
11.4124,1.607891
11.5648,1.616011
11.7172,1.627146
11.8696,1.634083
12.0220,1.623758
12.1744,1.619828
12.3268,1.604636
12.4792,1.566338
12.6316,1.549585
12.7840,1.561968
12.9364,1.581228
13.0888,1.60703
13.2412,1.67343
13.3936,1.729421
13.5460,1.762283
13.6984,1.76946
13.8508,1.765887
14.0032,1.764215
14.1556,1.737165
14.3080,1.702372
14.4604,1.679739
14.6128,1.650823
14.7652,1.630085
14.9176,1.641603
15.0700,1.658783
15.2224,1.686923
15.3748,1.724515
15.5272,1.753443
15.6796,1.773563
15.8320,1.787447
15.9844,1.792356
16.1368,1.781951
16.2892,1.793896
16.4416,1.799981
16.5940,1.813049
16.7464,1.827442
16.8988,1.849478
17.0512,1.849735
17.2036,1.855888
17.3560,1.858674
17.5084,1.859733
17.6608,1.832111
17.8132,1.81947
17.9656,1.822967
18.1180,1.813609
18.2704,1.813475
18.4228,1.802972
18.5752,1.773705
18.7276,1.743763
18.8800,1.726918
19.0324,1.703506
19.1848,1.705707
19.3372,1.717001
19.4896,1.738279
19.6420,1.767953
19.7944,1.784537
19.9468,1.798881
20.0992,1.821123
20.2516,1.822827
20.4040,1.833494
20.5564,1.829659
20.7088,1.84632
20.8612,1.851662
21.0136,1.850458
21.1660,1.843895
21.3184,1.841316
21.4708,1.831601
21.6232,1.825076
21.7756,1.790376
21.9280,1.740275
22.0804,1.708963
22.2328,1.663811
22.3852,1.612352
22.5376,1.552896
22.6900,1.490411
22.8424,1.444178
22.9948,1.404624
23.1472,1.375153
23.2996,1.362585
23.4520,1.341058
23.6044,1.289244
23.7568,1.23338
23.9092,1.162212
24.0616,1.063425
24.2140,1.017183
24.3664,1.038075
24.5188,1.104305
24.6712,1.193946
24.8236,1.275956
24.9760,1.317452
25.1284,1.360704
25.2808,1.386927
25.4332,1.386066
25.5856,1.366781
25.7380,1.338381
25.8904,1.278536
26.0428,1.193578
26.1952,1.124476
26.3476,1.101862
26.5000,1.117885
26.6524,1.202615
26.8048,1.317558
26.9572,1.394044
27.1096,1.462924
27.2620,1.525808
27.4144,1.566759
27.5668,1.605957
27.7192,1.660375
27.8716,1.720497
28.0240,1.772097
28.1764,1.800464
28.3288,1.809562
28.4812,1.800809
28.6336,1.772656
28.7860,1.745409
28.9384,1.730753
