#HOLE:,U1520B,,
#EXPEDITION:,372,,
#TOP:,0.1079,,
#BOTTOM:,752.0498,,
DEPTH_LSF,DHAP,DHAT,ECD
m,psi,degC,g/cm3
26.3207,5257.897271,2,4.802457
26.4731,5257.009638,2,4.74603
26.6255,5259.009712,2,4.753788
26.7779,5260.584825,2,4.786267
26.9303,5263.00841,2,4.82056
27.0827,5261.009786,2,4.725666
27.2351,5260.009024,2,4.647744
27.3875,5255.013915,2,4.43393
27.5399,5256.639791,2,4.46899
27.6923,5258.00895,2,4.498648
27.8447,5258.00895,2,4.459529
27.9971,5258.00895,2,4.415918
28.1495,5261.006885,2,4.47127
28.3019,5258.458568,2,4.368401
28.4543,5255.009564,2,4.229288
28.6067,5261.009786,2,4.380735
28.7591,5261.491312,2,4.374196
28.9115,5262.009098,2,4.367155
29.0639,5265.008484,2,4.420754
29.2163,5264.42253,2,4.377128
29.3687,5264.010622,2,4.346505
29.5211,5262.010548,2,4.242111
29.6735,5265.008484,2,4.297538
29.8259,5264.551614,2,4.262741
29.9783,5264.010622,2,4.221625
30.1307,5264.009172,2,4.175313
30.2831,5264.009172,2,4.161247
30.4355,5264.009172,2,4.136946
30.5879,5260.010474,2,3.98075
30.7403,5261.083756,2,3.992219
30.8927,5262.009098,2,4.0021
31.0451,5264.009172,2,4.027468
31.1975,5267.010008,2,4.082366
31.3499,5266.527032,2,4.050364
31.5023,5266.010696,2,4.015986
31.6547,5263.011311,2,3.894575
31.8071,5267.010008,2,3.981932
31.9595,5270.006493,2,4.039668
32.1119,5268.441533,2,3.980418
32.2643,5266.010696,2,3.888407
32.4167,5268.551762,2,3.934677
32.5691,5270.009394,2,3.961204
32.7215,5269.010082,2,3.894764
32.8739,5269.010082,2,3.877201
33.0263,5269.010082,2,3.852411
33.1787,5269.010082,2,3.83152
33.3311,5269.010082,2,3.811478
33.4835,5272.006567,2,3.86306
33.6359,5271.010156,2,3.808829
33.7883,5271.010156,2,3.796365
33.9407,5271.010156,2,3.779007
34.0931,5273.00733,2,3.808205
34.2455,5271.010156,2,3.738001
34.3979,5271.010156,2,3.715483
34.5503,5272.009468,2,3.714706
34.7027,5274.008092,2,3.743202
34.8551,5272.010918,2,3.668162
35.0075,5273.120459,2,3.682803
35.1599,5274.009542,2,3.69455
35.3123,5274.009542,2,3.666855
35.4647,5274.009542,2,3.645101
35.6171,5277.008928,2,3.698028
35.7695,5273.00878,2,3.578599
35.9219,5274.008092,2,3.589797
36.0743,5275.008854,2,3.596794
36.2267,5275.008854,2,3.576989
36.3791,5277.008928,2,3.604694
36.5315,5274.009542,2,3.513396
36.6839,5276.008166,2,3.543072
36.8363,5275.010304,2,3.506821
36.9887,5272.009468,2,3.418661
37.1411,5272.009468,2,3.388681
37.2935,5275.005953,2,3.441341
37.4459,5274.009542,2,3.398188
37.5983,5274.009542,2,3.380545
37.7507,5272.889849,2,3.345877
37.9031,5271.011607,2,3.287766
38.0555,5277.004577,2,3.405233
38.2079,5273.011681,2,3.298474
38.3603,5271.010156,2,3.235063
38.5127,5276.009616,2,3.330133
38.6651,5277.008928,2,3.338786
38.8175,5273.011681,2,3.236134
38.9699,5274.009542,2,3.243127
39.1223,5283.00915,2,3.425501
39.2747,5277.01618,2,3.277744
39.4271,5280.006863,2,3.329799
39.5795,5286.007085,2,3.441545
39.7319,5282.009838,2,3.343527
39.8843,5281.010526,2,3.298503
40.0367,5280.011215,2,3.26291
40.1891,5286.007085,2,3.374023
