#HOLE:,U1517A
#EXPEDITION:,372
#TOP:,0.0332
#BOTTOM:,196.3244
DEPTH_LSF,DTCO,DTSM,VCO,VSH
m,us/ft,us/ft,km/s,km/s
16.7972,188.93709,-999.25.00000,1.6132,-999.25
16.9496,187.98970,-999.25.00000,1.6214,-999.25
17.1020,186.81018,-999.25.00000,1.6316,-999.25
17.2544,185.85490,-999.25.00000,1.6400,-999.25
17.4068,185.60684,-999.25.00000,1.6422,-999.25
17.5592,185.36671,-999.25.00000,1.6443,-999.25
17.7116,184.65155,-999.25.00000,1.6507,-999.25
17.8640,184.42729,-999.25.00000,1.6527,-999.25
18.0164,184.65149,-999.25.00000,1.6507,-999.25
18.1688,185.38249,-999.25.00000,1.6442,-999.25
18.3212,186.07906,-999.25.00000,1.6380,-999.25
18.4736,187.52559,-999.25.00000,1.6254,-999.25
18.6260,188.23012,-999.25.00000,1.6193,-999.25
18.7784,189.19334,-999.25.00000,1.6111,-999.25
18.9308,190.14062,-999.25.00000,1.6030,-999.25
19.0832,190.36482,-999.25.00000,1.6011,-999.25
19.2356,189.90045,-999.25.00000,1.6051,-999.25
19.3880,188.23792,-999.25.00000,1.6192,-999.25
19.5404,187.04248,-999.25.00000,1.6296,-999.25
19.6928,186.33002,-999.25.00000,1.6358,-999.25
19.8452,184.88850,-999.25.00000,1.6486,-999.25
19.9976,184.33151,-999.25.00000,1.6535,-999.25
20.1500,184.10829,-999.25.00000,1.6555,-999.25
20.3024,184.06749,-999.25.00000,1.6559,-999.25
20.4548,183.22844,-999.25.00000,1.6635,-999.25
20.6072,182.74896,-999.25.00000,1.6679,-999.25
20.7596,183.93909,-999.25.00000,1.6571,-999.25
20.9120,184.38754,-999.25.00000,1.6530,-999.25
21.0644,184.15529,-999.25.00000,1.6551,-999.25
21.2168,182.97575,-999.25.00000,1.6658,-999.25
21.3692,181.31322,-999.25.00000,1.6811,-999.25
21.5216,180.84885,-999.25.00000,1.6854,-999.25
21.6740,181.08099,-999.25.00000,1.6832,-999.25
21.8264,182.26045,-999.25.00000,1.6723,-999.25
21.9788,183.93089,-999.25.00000,1.6571,-999.25
22.1312,184.64345,-999.25.00000,1.6507,-999.25
22.2836,185.62254,-999.25.00000,1.6420,-999.25
22.4360,187.05074,-999.25.00000,1.6295,-999.25
22.5884,189.19353,-999.25.00000,1.6110,-999.25
22.7408,191.31233,-999.25.00000,1.5932,-999.25
22.8932,192.03528,-999.25.00000,1.5872,-999.25
23.0456,190.61287,-999.25.00000,1.5991,-999.25
23.1980,189.20911,-999.25.00000,1.6109,-999.25
23.3504,188.25380,-999.25.00000,1.6191,-999.25
23.5028,188.29352,-999.25.00000,1.6187,-999.25
23.6552,190.43346,-999.25.00000,1.6006,-999.25
23.8076,196.11789,-999.25.00000,1.5542,-999.25
23.9600,201.09406,-999.25.00000,1.5157,-999.25
24.1124,201.80493,-999.25.00000,1.5104,-999.25
24.2648,199.67142,-999.25.00000,1.5265,-999.25
24.4172,197.13206,-999.25.00000,1.5462,-999.25
24.5696,195.29376,-999.25.00000,1.5607,-999.25
24.7220,194.02174,-999.25.00000,1.5710,-999.25
24.8744,192.91959,-999.25.00000,1.5799,-999.25
25.0268,193.29019,-999.25.00000,1.5769,-999.25
25.1792,194.20288,-999.25.00000,1.5695,-999.25
25.3316,195.19917,-999.25.00000,1.5615,-999.25
25.4840,195.87915,-999.25.00000,1.5561,-999.25
25.6364,195.41072,-999.25.00000,1.5598,-999.25
25.7888,195.43451,-999.25.00000,1.5596,-999.25
25.9412,196.61389,-999.25.00000,1.5502,-999.25
26.0936,198.50055,-999.25.00000,1.5355,-999.25
26.2460,199.44815,-999.25.00000,1.5282,-999.25
26.3984,198.74086,-999.25.00000,1.5337,-999.25
26.5508,197.56131,-999.25.00000,1.5428,-999.25
26.7032,196.34996,-999.25.00000,1.5523,-999.25
26.8556,194.68217,-999.25.00000,1.5656,-999.25
27.0080,191.84013,-999.25.00000,1.5888,-999.25
27.1604,189.94540,-999.25.00000,1.6047,-999.25
27.3128,190.41251,-999.25.00000,1.6007,-999.25
27.4652,191.57614,-999.25.00000,1.5910,-999.25
27.6176,192.50761,-999.25.00000,1.5833,-999.25
27.7700,192.01161,-999.25.00000,1.5874,-999.25
27.9224,188.72142,-999.25.00000,1.6151,-999.25
28.0748,184.68927,-999.25.00000,1.6503,-999.25
28.2272,184.43530,-999.25.00000,1.6526,-999.25
28.3796,184.87033,-999.25.00000,1.6487,-999.25
28.5320,183.45290,-999.25.00000,1.6615,-999.25
28.6844,182.44781,-999.25.00000,1.6706,-999.25
28.8368,183.34007,-999.25.00000,1.6625,-999.25
28.9892,186.23778,-999.25.00000,1.6366,-999.25
29.1416,189.12288,-999.25.00000,1.6117,-999.25
29.2940,189.97487,-999.25.00000,1.6044,-999.25
29.4464,188.94077,-999.25.00000,1.6132,-999.25
29.5988,187.02675,-999.25.00000,1.6297,-999.25
29.7512,185.12683,-999.25.00000,1.6464,-999.25
29.9036,182.26900,-999.25.00000,1.6723,-999.25
30.0560,180.15788,-999.25.00000,1.6918,-999.25
30.2084,180.38216,-999.25.00000,1.6897,-999.25
30.3608,183.00800,-999.25.00000,1.6655,-999.25
30.5132,186.07957,-999.25.00000,1.6380,-999.25
30.6656,189.87769,-999.25.00000,1.6052,-999.25
30.8180,191.80203,-999.25.00000,1.5891,-999.25
30.9704,190.61052,-999.25.00000,1.5991,-999.25
31.1228,189.61969,-999.25.00000,1.6074,-999.25
31.2752,190.71420,-999.25.00000,1.5982,-999.25
31.4276,190.63791,-999.25.00000,1.5988,-999.25
31.5800,189.70146,-999.25.00000,1.6067,-999.25
31.7324,187.50803,-999.25.00000,1.6255,-999.25
31.8848,186.31430,-999.25.00000,1.6359,-999.25
32.0372,183.92247,-999.25.00000,1.6572,-999.25
32.1896,180.36554,-999.25.00000,1.6899,-999.25
32.3420,178.71393,-999.25.00000,1.7055,-999.25
32.4944,178.70612,-999.25.00000,1.7056,-999.25
32.6468,180.11790,-999.25.00000,1.6922,-999.25
32.7992,182.72775,-999.25.00000,1.6681,-999.25
32.9516,184.15536,-999.25.00000,1.6551,-999.25
33.1040,184.65944,-999.25.00000,1.6506,-999.25
33.2564,185.85486,-999.25.00000,1.6400,-999.25
33.4088,187.73364,-999.25.00000,1.6236,-999.25
33.5612,188.43303,-999.25.00000,1.6176,-999.25
33.7136,186.55453,-999.25.00000,1.6338,-999.25
33.8660,183.96063,-999.25.00000,1.6569,-999.25
34.0184,183.48799,-999.25.00000,1.6611,-999.25
34.1708,184.42747,-999.25.00000,1.6527,-999.25
34.3232,185.83923,-999.25.00000,1.6401,-999.25
34.4756,187.50162,-999.25.00000,1.6256,-999.25
34.6280,187.73373,-999.25.00000,1.6236,-999.25
34.7804,186.80228,-999.25.00000,1.6317,-999.25
34.9328,185.84697,-999.25.00000,1.6401,-999.25
35.0852,185.37466,-999.25.00000,1.6442,-999.25
35.2376,184.65155,-999.25.00000,1.6507,-999.25
35.3900,184.41934,-999.25.00000,1.6528,-999.25
35.5424,184.41934,-999.25.00000,1.6528,-999.25
35.6948,184.65149,-999.25.00000,1.6507,-999.25
35.8472,185.36658,-999.25.00000,1.6443,-999.25
35.9996,185.59891,-999.25.00000,1.6423,-999.25
36.1520,185.60684,-999.25.00000,1.6422,-999.25
36.3044,185.59886,-999.25.00000,1.6423,-999.25
36.4568,185.36665,-999.25.00000,1.6443,-999.25
36.6092,184.65149,-999.25.00000,1.6507,-999.25
36.7616,184.41933,-999.25.00000,1.6528,-999.25
36.9140,184.40346,-999.25.00000,1.6529,-999.25
37.0664,184.17126,-999.25.00000,1.6550,-999.25
37.2188,183.45612,-999.25.00000,1.6614,-999.25
37.3712,183.21594,-999.25.00000,1.6636,-999.25
37.5236,182.97581,-999.25.00000,1.6658,-999.25
37.6760,182.26071,-999.25.00000,1.6723,-999.25
37.8284,182.02844,-999.25.00000,1.6745,-999.25
37.9808,182.02045,-999.25.00000,1.6745,-999.25
38.1332,182.01247,-999.25.00000,1.6746,-999.25
38.2856,181.78023,-999.25.00000,1.6767,-999.25
38.4380,181.06511,-999.25.00000,1.6834,-999.25
38.5904,180.83293,-999.25.00000,1.6855,-999.25
38.7428,180.82498,-999.25.00000,1.6856,-999.25
38.8952,180.82498,-999.25.00000,1.6856,-999.25
39.0476,180.82498,-999.25.00000,1.6856,-999.25
39.2000,180.82498,-999.25.00000,1.6856,-999.25
39.3524,180.83293,-999.25.00000,1.6855,-999.25
39.5048,181.06509,-999.25.00000,1.6834,-999.25
39.6572,181.78020,-999.25.00000,1.6768,-999.25
39.8096,182.01251,-999.25.00000,1.6746,-999.25
39.9620,182.02045,-999.25.00000,1.6745,-999.25
40.1144,182.01247,-999.25.00000,1.6746,-999.25
40.2668,181.78023,-999.25.00000,1.6767,-999.25
40.4192,181.05714,-999.25.00000,1.6834,-999.25
40.5716,180.59276,-999.25.00000,1.6878,-999.25
40.7240,179.86964,-999.25.00000,1.6946,-999.25
