#HOLE:,U1528D
#EXPEDITION:,376
#TOP:,0.0980
#BOTTOM:,333.7017
DEPTH_WMSF,TENS,CS,ETIM
m,lbf,m/h,s
24.1772,1988,544.068,335.9655
24.3296,1982.003,542.5447,337.0005
24.4820,1994.999,542.544,338.0204
24.6344,1982.006,542.544,339.056
24.7868,1928.007,542.2393,340.0929
24.9392,1950.987,546.8087,341.1454
25.0916,1974.996,544.0685,342.1818
25.2440,1947.017,544.068,343.2091
25.3964,1958.997,544.6775,344.2542
25.5488,1977.007,544.373,345.2906
25.7012,2034.982,546.201,346.3427
25.8536,2017.997,545.8967,347.3966
26.0060,1967.019,544.678,348.4666
26.1584,1918,543.1536,349.5025
26.3108,1936.992,541.6302,350.537
26.4632,1914.002,541.6296,351.5905
26.6156,1916.999,541.0203,352.627
26.7680,2001.989,544.0676,353.6974
26.9204,2072.96,549.2466,354.7494
27.0728,2069.001,547.4211,355.7853
27.2252,1984.053,551.9899,356.8373
27.3776,1963.005,547.4219,357.8907
27.5300,1888,540.4103,358.9456
27.6824,1889.999,540.1057,359.9997
27.8348,1948.003,542.5441,361.0361
27.9872,2012.975,543.458,362.0876
28.1396,2060,544.3728,363.1395
28.2920,2029.014,544.3728,364.1906
28.4444,1967.005,543.7632,365.2774
28.5968,1923.022,544.0678,366.347
28.7492,1901.003,542.849,367.4013
28.9016,1931.982,543.1534,368.4714
29.0540,2028.981,543.7631,369.5593
29.2064,2100.955,549.2461,370.6443
29.3588,2052.013,546.8118,371.7132
29.5112,1953.999,541.0201,372.7826
29.6636,1948.002,542.2388,373.8517
29.8160,1997,543.7632,374.9216
29.9684,2002.998,543.1539,375.9911
30.1208,1998,543.1536,377.078
30.2732,2008.995,546.2003,378.156
30.4256,1956.004,544.9825,379.2179
30.5780,1921.018,544.6778,380.287
30.7304,1959.994,544.6776,381.3564
30.8828,1943.01,544.6776,382.4254
31.0352,1977.993,544.3729,383.4883
31.1876,1963.01,544.6774,384.5668
31.3400,1979.995,544.3729,385.6372
31.4924,1984.003,544.068,386.7236
31.6448,2016.989,544.3727,387.7921
31.7972,2005.999,543.7631,388.879
31.9496,1979.011,542.5445,389.9486
32.1020,1814.004,575.1567,391.0025
32.2544,1887.966,540.1216,392.072
32.4068,1921.997,527.3051,393.1424
32.5592,1947.986,546.4964,394.2284
32.7116,2009.991,548.0302,395.2979
32.8640,2018.995,542.5472,396.3654
33.0164,1987.007,535.2304,397.4343
33.1688,2005.988,534.0104,398.5203
33.3212,2007.999,531.5719,399.5907
33.4736,1954.995,530.6568,400.6946
33.6260,1907.016,530.3521,401.7631
33.7784,1899.002,530.0472,402.849
33.9308,1962.974,531.8752,403.9186
34.0832,2007.999,532.7904,405.006
34.2356,2027.991,532.1811,406.075
34.3880,2034.999,532.7903,407.1604
34.5404,1970.034,532.7904,408.2619
34.6928,2019.992,532.1809,409.3653
34.8452,2000.012,532.1808,410.4359
34.9976,2000,531.876,411.5243
35.1500,2001.999,530.353,412.6103
35.3024,1976.007,530.6567,413.6807
35.4548,1941.002,528.828,414.7666
35.6072,1966.991,528.828,415.8516
35.7596,1992.001,535.2288,416.9215
35.9120,2038.981,535.8381,418.0075
36.0644,2062.999,534.9241,419.078
36.2168,1985.037,531.5728,420.165
36.3692,1957.003,529.7426,421.2519
36.5216,1918.021,531.2656,422.3379
36.6740,1898.003,529.1332,423.4238
36.8264,1948.97,529.1328,424.5094
36.9788,2034.98,531.8754,425.5788
37.1312,2100.957,530.9622,426.6648
37.2836,2006.028,528.5239,427.7512
37.4360,1969.999,526.085,428.8386
37.5884,1963.002,528.827,429.9076
37.7408,1971,527.6088,430.9945
37.8932,1975.998,527.3041,432.0635
38.0456,2049.997,528.8279,433.1669
38.1980,2039.005,528.2187,434.2855
38.3504,1962.008,525.1707,435.3719
38.5028,1940.012,522.4286,436.4744
38.6552,1893.008,521.8177,437.5448
38.8076,1896.998,520.9037,438.6463
38.9600,1988.978,522.1221,439.7323
39.1124,2125.909,525.1684,440.8183
39.2648,2106.006,526.3892,441.9062
39.4172,2052.993,524.5606,442.9771
39.5696,1959.034,522.1232,444.0806
39.7220,1864,522.1224,445.183
39.8744,1868.998,521.2084,446.268
40.0268,1921.997,522.4271,447.3539
40.1792,1937.992,522.1225,448.4405
40.3316,2034.989,522.4271,449.5279
40.4840,2052.99,523.3411,450.6144
