#HOLE:,U1517A
#EXPEDITION:,372
#TOP:,0.1348
#BOTTOM:,203.7412
DEPTH_LSF,RES_BD,RES_BIT,RES_BM,RES_BS,RES_RING
m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m
15.2224,1.618368,1.735171,1.641482,1.581013,1.678276
15.3748,1.29793,1.827356,1.379155,1.377927,1.443342
15.5272,1.614044,1.677779,1.419484,1.148617,1.395436
15.6796,1.722582,1.737634,1.465925,1.199302,1.3513
15.8320,1.456926,1.563171,1.555741,1.005089,1.379469
15.9844,1.622927,1.441324,1.691281,1.396055,1.375515
16.1368,1.446798,1.439294,1.397989,1.063372,1.475964
16.2892,1.497021,1.554496,1.392692,0.9025199,1.356041
16.4416,1.774638,1.603603,1.585892,1.530408,1.576884
16.5940,1.976224,1.546043,1.291986,1.353735,1.702702
16.7464,2.072644,1.688476,1.267236,0.9577406,1.615225
16.8988,1.321471,1.527643,1.319131,0.9358831,1.438994
17.0512,1.215141,1.654331,1.288384,0.9433303,1.312383
17.2036,1.496764,1.664709,1.263059,0.7424645,1.696999
17.3560,2.109576,1.51502,1.453433,1.1021,1.111449
17.5084,1.374316,1.447288,1.264701,1.199438,1.431223
17.6608,1.637799,1.442757,1.57635,1.30096,1.691421
17.8132,1.715143,1.469417,1.811173,1.386922,1.415385
17.9656,1.834171,1.424654,1.465109,1.559425,1.749683
18.1180,1.543651,1.603508,1.598171,1.176029,1.456701
18.2704,1.649938,1.520655,1.601125,1.376059,1.492109
18.4228,1.396352,1.631744,1.452979,1.484041,1.586405
18.5752,1.424586,1.697642,1.317612,1.635801,1.327809
18.7276,2.056201,1.763931,1.186882,1.191536,1.491421
18.8800,2.547246,1.68025,1.369475,1.435675,1.671525
19.0324,1.237367,1.615649,1.433818,1.116336,1.312389
19.1848,1.320181,1.40548,1.550893,1.095056,1.254242
19.3372,1.405077,1.360667,1.138194,1.197964,1.25142
19.4896,1.259063,1.281897,0.7180015,0.4904898,0.8175558
19.6420,1.252637,1.717345,1.289853,0.5418091,1.143604
19.7944,1.332519,1.433319,1.176068,1.201002,1.484289
19.9468,1.492453,1.43786,1.296129,1.313338,1.374168
20.0992,1.589382,1.726555,1.303446,1.088194,1.313209
20.2516,0.9193462,1.409334,1.507003,1.346604,1.115719
20.4040,1.728208,1.699983,1.3695,1.286524,1.943066
20.5564,1.832387,1.60173,1.878391,1.447671,1.682195
20.7088,1.770942,1.593526,1.607894,1.495854,1.625307
20.8612,1.459612,1.657734,1.750999,1.698997,1.879434
21.0136,2.043216,1.759537,1.840346,1.596182,1.877313
21.1660,2.336438,1.50691,1.844539,1.069648,1.562606
21.3184,1.781496,1.37664,1.387847,0.8091846,0.8343166
21.4708,2.000196,1.583472,1.630609,1.702073,1.544527
21.6232,2.334149,1.601199,1.188481,1.619079,1.888974
21.7756,2.446017,1.502061,1.966034,1.889655,1.623514
21.9280,1.755515,1.608317,1.921855,1.7108,1.704547
22.0804,2.132092,1.367386,1.934289,1.301307,1.570202
22.2328,2.046359,1.310989,0.9010511,1.097463,1.376352
22.3852,1.167848,1.267091,1.118533,1.18518,1.624338
22.5376,0.9738383,1.179715,0.9958964,1.211479,1.519018
22.6900,1.271906,1.078304,1.053918,0.756492,1.517321
22.8424,1.470379,1.132427,1.220104,1.301253,1.196859
22.9948,1.236076,1.096698,1.024996,0.6536396,0.8758626
23.1472,1.739476,1.004164,1.476728,0.7487503,1.098997
23.2996,0.8198701,0.9627252,0.843857,0.606653,0.824277
23.4520,1.324953,0.9786671,0.8773409,0.6614897,0.9507312
