#HOLE:,U1528D
#EXPEDITION:,376
#TOP:,0.0980
#BOTTOM:,322.4241
DEPTH_WMSF,GR,ECGR
m,gAPI,gAPI
31.7972,5.722317,5.947064
31.9496,3.339011,3.470152
32.1020,3.577168,3.717663
32.2544,2.8622,2.974615
32.4068,2.595314,2.697246
32.5592,3.07124,3.191864
32.7116,3.628066,3.77056
32.8640,3.852674,4.00399
33.0164,3.614423,3.756381
33.1688,3.772907,3.92109
33.3212,5.007658,5.204336
33.4736,4.531132,4.709095
33.6260,4.531802,4.709791
33.7784,4.293257,4.461877
33.9308,4.293257,4.461877
34.0832,4.053046,4.212232
34.2356,4.178823,4.342948
34.3880,3.70206,3.84746
34.5404,3.703129,3.848571
34.6928,4.053316,4.212512
34.8452,4.76825,4.955526
34.9976,5.147623,5.349799
35.1500,6.577375,6.835705
35.3024,6.816674,7.084403
35.4548,7.62978,7.929444
35.6072,6.522787,6.778973
35.7596,6.283927,6.530732
35.9120,4.377283,4.549202
36.0644,3.814961,3.964796
36.2168,3.731122,3.877664
36.3692,3.731083,3.877623
36.5216,3.25447,3.382291
36.6740,2.86127,2.973648
36.8264,3.338233,3.469345
36.9788,3.100139,3.221899
37.1312,3.043822,3.16337
37.2836,2.805309,2.915489
37.4360,3.8567,4.008174
37.5884,4.389637,4.562042
37.7408,5.344016,5.553904
37.8932,5.961365,6.1955
38.0456,5.246689,5.452756
38.1980,5.245875,5.45191
38.3504,5.247215,5.453302
38.5028,6.102318,6.34199
38.6552,6.102781,6.342471
38.8076,5.036543,5.234356
38.9600,6.325595,6.574037
39.1124,6.452439,6.705862
39.2648,9.89892,10.2877
39.4172,8.469441,8.802083
39.5696,9.814221,10.19968
39.7220,6.957077,7.23032
39.8744,7.195408,7.478011
40.0268,5.485181,5.700614
40.1792,4.446887,4.62154
40.3316,3.96957,4.125477
40.4840,3.66137,3.805172
40.6364,4.221824,4.387638
40.7888,4.221924,4.387743
40.9412,3.338285,3.469398
41.0936,3.899816,4.052984
41.2460,5.3298,5.53913
41.3984,6.283912,6.530715
41.5508,5.386469,5.598026
41.7032,3.240238,3.3675
41.8556,3.240238,3.3675
42.0080,3.338065,3.469169
42.1604,4.20752,4.372772
42.3128,4.446352,4.620986
