#HOLE:,U1528D
#EXPEDITION:,376
#TOP:,0.0980
#BOTTOM:,323.4909
DEPTH_WMSF,HSGR,HCGR,HFK,HTHO,HURA,HBHK
m,gAPI,gAPI,%,ppm,ppm,%
12.2900,2.964632,2.696875,0.05398631,0.5482829,-0.04992156,-999.25
12.4424,3.142072,2.760048,0.06286418,0.5165531,-0.01843321,-999.25
12.5948,2.962274,2.64427,0.05721587,0.5125148,-0.02362558,-999.25
12.7472,2.801914,2.398946,0.04604495,0.4992898,-0.0180951,-999.25
12.8996,2.914399,2.281058,0.0506031,0.4348203,0.003051643,-999.25
13.0520,3.422743,2.770651,0.06792217,0.4903386,-0.02724563,-999.25
13.2044,3.9703,2.82812,0.07932863,0.4419768,0.04809524,-999.25
13.3568,3.210922,2.175328,0.05423287,0.3796827,0.08157316,-999.25
13.5092,3.085875,1.894809,0.04293196,0.3559383,0.09556712,-999.25
13.6616,2.832707,1.539834,0.0334186,0.2978655,0.1221652,-999.25
13.8140,3.530663,1.616184,0.03287406,0.3255239,0.2121056,-999.25
13.9664,3.545079,1.713022,0.04159258,0.3055167,0.2067677,-999.25
14.1188,3.748999,1.658588,0.04080122,0.2927038,0.2562229,-999.25
14.2712,3.520723,1.733842,0.04895141,0.2691063,0.2055333,-999.25
14.4236,3.733714,1.831066,0.05356559,0.2732525,0.233134,-999.25
14.5760,2.986124,1.568824,0.03926367,0.2729361,0.1658545,-999.25
14.7284,2.818019,1.023247,0.02732033,0.1680017,0.2258469,-999.25
14.8808,2.186286,0.925881,0.02533132,0.1484407,0.1506597,-999.25
15.0332,2.745161,1.024719,0.03345198,0.1325748,0.2053794,-999.25
15.1856,2.853567,1.213352,0.03668463,0.1741059,0.189487,-999.25
15.3380,2.564213,1.015979,0.0360206,0.1147353,0.1971418,-999.25
15.4904,2.709178,1.223007,0.04495874,0.1287584,0.1738154,-999.25
15.6428,2.710043,1.616861,0.04429301,0.2588869,0.1117822,-999.25
15.7952,2.853043,1.641386,0.03825793,0.3020806,0.1204961,-999.25
15.9476,3.056797,1.754941,0.03002904,0.3866525,0.1307795,-999.25
16.1000,2.597325,1.462766,0.02903978,0.2988015,0.09603784,-999.25
16.2524,3.105631,1.506746,0.03413302,0.283078,0.151473,-999.25
16.4048,2.950244,1.847914,0.04376256,0.3360457,0.07380372,-999.25
16.5572,3.152851,1.865173,0.05114552,0.2983527,0.07986713,-999.25
16.7096,3.015848,1.877213,0.03559421,0.393259,0.06679501,-999.25
16.8620,2.959939,1.597349,0.03118679,0.3293658,0.11384,-999.25
17.0144,2.854868,1.241801,0.02094021,0.2754021,0.1381582,-999.25
17.1668,2.801157,1.454273,0.02943939,0.2937402,0.1242573,-999.25
17.3192,3.024936,1.589836,0.04602164,0.2401049,0.1517271,-999.25
17.4716,3.281946,2.192713,0.05776011,0.3646038,0.090968,-999.25
17.6240,3.614573,2.104009,0.06295253,0.305774,0.1456193,-999.25
17.7764,3.789774,2.072866,0.05950009,0.3160054,0.1720662,-999.25
17.9288,3.999646,1.922374,0.04871227,0.3309315,0.2414301,-999.25
18.0812,3.66255,1.802971,0.05221372,0.2721629,0.2210182,-999.25
18.2336,3.219565,1.446397,0.03644799,0.2501828,0.2349318,-999.25
18.3860,2.911214,1.229696,0.04315583,0.1414577,0.2124666,-999.25
18.5384,3.453687,1.461461,0.05794394,0.1291597,0.2430892,-999.25
