#HOLE:,U1517A
#EXPEDITION:,372
#TOP:,0.1348
#BOTTOM:,205.4176
DEPTH_LSF,RPM_GVR
m,c/min
52.7128,43.99963
52.8652,44
53.0176,39
53.1700,45.99754
53.3224,43.333
53.4748,39
53.6272,43.99877
53.7796,43.00123
53.9320,39.99816
54.0844,38.00074
54.2368,40
54.3892,35.00257
54.5416,44.00122
54.6940,40.00165
54.8464,33
54.9988,36.99756
55.1512,39
55.3036,29.00486
55.4560,39.00109
55.6084,37
55.7608,36.99964
55.9132,37
56.0656,43.99879
56.2180,41.00242
56.3704,36.00302
56.5228,41
56.6752,38
56.8276,40.0018
56.9800,41.99964
57.1324,42.00108
57.2848,42
57.4372,39.99892
57.5896,34.00359
57.7420,37.00179
57.8944,38.0006
58.0468,42
58.1992,36.99905
58.3516,39.00119
58.5040,35.0006
58.6564,39.00178
58.8088,40.00238
58.9612,45
59.1136,41.00059
59.2660,38.002
59.4184,43.99894
59.5708,41.99894
59.7232,41.00035
59.8756,41.99895
60.0280,42
60.1804,38
60.3328,38.0014
60.4852,42.9993
60.6376,39.00035
60.7900,40.00117
60.9424,37.0041
61.0948,42
61.2472,42
61.3996,41
61.5520,42.99896
61.7044,44.99896
61.8568,43.99826
62.0092,44.99768
62.1616,40
62.3140,39.99942
62.4664,41.99931
62.6188,40.00289
62.7712,43
62.9236,45.00034
63.0760,45
63.2284,40.00173
63.3808,45
63.5332,44
63.6856,43.00057
63.8380,40.00217
63.9904,44.00091
64.1428,41
64.2952,46.99714
64.4476,44
64.6000,46
64.7524,30.00142
64.9048,29.00101
65.0572,28.0004
65.2096,31.99899
65.3620,28.99899
65.5144,29
65.6668,30
65.8192,27.99887
65.9716,26
66.1240,27
66.2764,27
66.4288,27.00788
66.5812,36.00066
66.7336,38.00033
66.8860,37.99776
67.0384,33.00099
67.1908,37
67.3432,36.00056
67.4956,39.99767
67.6480,37.00076
67.8004,39.99836
67.9528,37
68.1052,35.99778
68.2576,36.9987
68.4100,33.00166
68.5624,33.00333
68.7148,38.00055
68.8672,39
69.0196,34.0013
69.1720,37
69.3244,38.99968
69.4768,38.99945
69.6292,35.99968
69.7816,36
69.9340,37.00032
70.0864,39.99872
70.2388,37
70.3912,39
70.5436,35
70.6960,36.00055
70.8484,35
71.0008,39.99936
71.1532,38.00172
71.3056,38.99968
71.4580,39.49989
71.6104,41.99892
71.7628,40.99968
71.9152,38.99946
72.0676,38
72.2200,40.99946
72.3724,38.99969
72.5248,40.00054
72.6772,37
72.8296,40.99844
72.9820,36.99946
73.1344,39.99844
73.2868,39.99915
73.4392,40.99893
73.5916,38.99955
73.7440,40.99876
73.8964,34.0016
74.0488,38.99871
74.2012,36.00015
74.3536,39.66673
74.5060,39.00031
74.6584,39.00026
74.8108,38
74.9632,39.99864
75.1156,40.99817
75.2680,33.00214
75.4204,35.50094
75.5728,37
75.7252,36.00105
75.8776,33.99939
76.0300,38
76.1824,31.99948
76.3348,38.99791
76.4872,33.9994
76.6396,30.00299
76.7920,34.00208
76.9444,40
77.0968,34
77.2492,37.9991
77.4016,35.99896
77.5540,34.00209
77.7064,39
77.8588,37
78.0112,40.99822
78.1636,32.00103
78.3160,37.99881
78.4684,36.00089
78.6208,37.99971
78.7732,34.00154
78.9256,34.99949
79.0780,36.00102
79.2304,38.99744
79.3828,46
79.5352,43
79.6876,43.00051
79.8400,42.00094
79.9924,45.00051
80.1448,43.00029
80.2972,44.00101
80.4496,41
80.6020,43.00051
80.7544,44
80.9068,42
81.0592,43.00151
81.2116,46.99899
81.3640,47.99942
81.5164,44.99971
81.6688,46
81.8212,46.00279
81.9736,47
82.1260,48.001
82.2784,47.99957
82.4308,49
82.5832,48.99934
82.7356,49
82.8880,50.99837
83.0404,48.0005
83.1928,48.9995
83.3452,50
83.4976,49
83.6500,45.9986
83.8024,48.99972
83.9548,47.00232
84.1072,45.99859
84.2596,47
84.4120,48.99706
84.5644,47.99853
84.7168,49
84.8692,47.99889
85.0216,45.00138
85.1740,49.99903
85.3264,45
85.4788,49
85.6312,46.00097
85.7836,49.00048
85.9360,46.00027
86.0884,44
86.2408,43.00033
86.3932,43.00027
86.5456,43.99986
86.6980,45
86.8504,44
87.0028,46.49936
87.1552,48.99904
87.3076,47.99952
87.4600,45.00054
87.6124,47.00048
87.7648,40.00214
87.9172,42
88.0696,47
88.2220,46
88.3744,42.00285
88.5268,47.99953
88.6792,47
88.8316,49.99894
88.9840,49
89.1364,46.99947
89.2888,49.99859
89.4412,47.00047
89.5936,43.00094
