#HOLE:,U1520B
#EXPEDITION:,372
#TOP:,1.0223
#BOTTOM:,748.8494
DEPTH_LSF,RHON
m,g/cm3
48.7235,1.671985
48.8759,1.68145
49.0283,1.64798
49.1807,1.641685
49.3331,1.620797
49.4855,1.589279
49.6379,1.564907
49.7903,1.572631
49.9427,1.553533
50.0951,1.530647
50.2475,1.493389
50.3999,1.483201
50.5523,1.467142
50.7047,1.425647
50.8571,1.375309
51.0095,1.348499
51.1619,1.324732
51.3143,-999.25
51.4667,-999.25
51.6191,-999.25
51.7715,-999.25
51.9239,-999.25
52.0763,-999.25
52.2287,-999.25
52.3811,1.41596
52.5335,1.416566
52.6859,1.40921
52.8383,1.387482
52.9907,1.380885
53.1431,1.396953
53.2955,1.415126
53.4479,1.457551
53.6003,1.477322
53.7527,1.472562
53.9051,1.528121
54.0575,1.616398
54.2099,1.658818
54.3623,1.68583
54.5147,1.690535
54.6671,1.680269
54.8195,1.682562
54.9719,1.668988
55.1243,1.680323
55.2767,1.701063
55.4291,1.715339
55.5815,1.681866
55.7339,1.692878
55.8863,1.669975
56.0387,1.630413
56.1911,1.568444
56.3435,1.512583
56.4959,1.439364
56.6483,1.380694
56.8007,1.340773
56.9531,1.312002
57.1055,1.315523
57.2579,1.328045
57.4103,1.353982
57.5627,1.395284
57.7151,1.426139
57.8675,1.415781
58.0199,1.461264
58.1723,1.472264
58.3247,1.481419
58.4771,1.481982
58.6295,1.501648
58.7819,1.492613
58.9343,1.508706
59.0867,1.513901
59.2391,1.545993
59.3915,1.595427
59.5439,1.609583
59.6963,1.622434
59.8487,1.658393
60.0011,1.685382
60.1535,1.667352
60.3059,-999.25
60.4583,-999.25
60.6107,-999.25
60.7631,1.621027
60.9155,1.602304
61.0679,1.621181
61.2203,1.612223
61.3727,1.617924
61.5251,1.666579
61.6775,1.692443
61.8299,1.65077
61.9823,1.631849
62.1347,1.617328
62.2871,1.546005
62.4395,1.474866
62.5919,1.449578
62.7443,1.440451
62.8967,1.425046
63.0491,1.468862
63.2015,1.48306
63.3539,1.492288
63.5063,1.507684
63.6587,1.535516
63.8111,1.530715
63.9635,1.556979
64.1159,1.561924
64.2683,1.557484
64.4207,1.580309
64.5731,1.549324
64.7255,1.512772
64.8779,1.486398
65.0303,1.451082
65.1827,1.394482
65.3351,1.34419
65.4875,1.297392
65.6399,1.300084
65.7923,1.267952
65.9447,1.361861
66.0971,1.394466
66.2495,1.427881
66.4019,1.490995
66.5543,1.566342
66.7067,1.531946
66.8591,1.550957
67.0115,1.571636
67.1639,1.58739
67.3163,1.590228
67.4687,1.603538
67.6211,1.619975
67.7735,1.58535
67.9259,1.547805
68.0783,1.503252
68.2307,1.4781
68.3831,1.42963
68.5355,1.391877
68.6879,1.32957
68.8403,1.297584
68.9927,1.29334
69.1451,1.284546
69.2975,1.266587
69.4499,1.283829
69.6023,1.280411
69.7547,1.282622
69.9071,1.292717
70.0595,1.313648
70.2119,-999.25
70.3643,-999.25
70.5167,-999.25
70.6691,-999.25
70.8215,-999.25
70.9739,-999.25
71.1263,-999.25
71.2787,-999.25
71.4311,-999.25
71.5835,1.253403
71.7359,1.294134
71.8883,1.346303
72.0407,1.390103
72.1931,1.413068
72.3455,1.455045
72.4979,1.521211
72.6503,1.538513
72.8027,1.51439
72.9551,1.521599
73.1075,1.498978
73.2599,1.509402
73.4123,1.520838
73.5647,1.495451
73.7171,1.477234
73.8695,1.465635
74.0219,1.433048
74.1743,1.408653
74.3267,1.364246
74.4791,1.346325
74.6315,1.369663
74.7839,1.391935
74.9363,1.454809
75.0887,1.519558
75.2411,1.547562
75.3935,1.55468
75.5459,1.600789
75.6983,1.611234
75.8507,1.616826
76.0031,1.620738
76.1555,1.601816
76.3079,1.583176
76.4603,1.560144
76.6127,1.538164
76.7651,1.525808
76.9175,1.526646
77.0699,1.531345
77.2223,1.535968
77.3747,1.534591
77.5271,1.550704
77.6795,1.586034
77.8319,1.574231
77.9843,1.557881
78.1367,1.53687
78.2891,1.497619
78.4415,1.468122
78.5939,1.449592
78.7463,1.438592
78.8987,1.433623
79.0511,1.436693
79.2035,1.484235
79.3559,1.48886
79.5083,1.525815
79.6607,1.503525
79.8131,1.528478
79.9655,1.498048
80.1179,1.544454
80.2703,1.534725
80.4227,1.546588
80.5751,1.526555
80.7276,1.509705
80.8800,1.449282
81.0324,1.407013
81.1848,1.361721
81.3372,1.392766
81.4896,1.408025
81.6420,1.425664
81.7944,1.442811
81.9468,1.466901
82.0992,1.476322
82.2516,1.494849
82.4040,1.463144
82.5564,1.450734
82.7088,1.452156
82.8612,1.452785
83.0136,1.426666
83.1660,1.430314
83.3184,1.436137
83.4708,1.430332
83.6232,1.412067
83.7756,1.417343
83.9280,1.396321
84.0804,1.368353
84.2328,1.395997
84.3852,1.440998
84.5376,1.495788
84.6900,1.576545
84.8424,1.609035
84.9948,1.618348
85.1472,1.608538
85.2996,1.621089
85.4520,1.601979
85.6044,1.624655
85.7568,1.618708
85.9092,1.616849
86.0616,1.596159
86.2140,1.527301
86.3664,1.474023
86.5188,1.42581
86.6712,1.372658
86.8236,1.340475
86.9760,1.379241
87.1284,1.425712
87.2808,1.458493
87.4332,1.483131
87.5856,1.502738
87.7380,1.526902
87.8904,1.545742
88.0428,1.58205
88.1952,1.58327
88.3476,1.611702
88.5000,1.651395
88.6524,1.660782
88.8048,1.610695
88.9572,1.5714
89.1096,1.494542
89.2620,1.401771
89.4144,1.288141
89.5668,1.222101
89.7192,1.242815
89.8716,1.28216
90.0240,1.318571
90.1764,1.384184
90.3288,1.462239
90.4812,1.50982
90.6336,1.528599
90.7860,1.538184
90.9384,1.529329
91.0908,1.520255
91.2432,1.507178
91.3956,1.50967
91.5480,1.497637
91.7004,1.485771
91.8528,1.480892
92.0052,1.468223
92.1576,1.446131
92.3100,1.452943
92.4624,1.452824
92.6148,1.444019
92.7672,1.446745
92.9196,1.463835
93.0720,1.462379
93.2244,1.507023
93.3768,1.498984
93.5292,1.510551
93.6816,1.523751
93.8340,1.539603
93.9864,1.547422
94.1388,1.571792
94.2912,1.556273
94.4436,1.574591
94.5960,1.585125
94.7484,1.61407
94.9008,1.621604
95.0532,1.63838
95.2056,1.644783
95.3580,1.643966
95.5104,1.652439
95.6628,1.658744
95.8152,1.650317
95.9676,1.649899
96.1200,1.648998
96.2724,1.653851
96.4248,1.658053
96.5772,1.667722
96.7296,1.657997
96.8820,1.664628
97.0344,1.678045
97.1868,1.691609
97.3392,1.681306
97.4916,1.675874
97.6440,1.671209
97.7964,1.656237
97.9488,1.629894
98.1012,1.611685
98.2536,1.604506
98.4060,1.605613
98.5584,1.600646
98.7108,1.59887
98.8632,1.607103
99.0156,1.602479
99.1680,1.609151
99.3204,1.600855
99.4728,1.602019
99.6252,1.598429
99.7776,1.616947
99.9300,1.6282
100.0824,1.653393
100.2348,1.646699
100.3872,1.65449
100.5396,1.628443
100.6920,1.613295
100.8444,1.59686
100.9968,1.576121
101.1492,1.566975
101.3016,1.565244
101.4540,1.554492
101.6064,1.56998
101.7588,1.584091
101.9112,1.601596
102.0636,1.61404
102.2160,1.652911
102.3684,1.675067
102.5208,1.69302
102.6732,1.687634
102.8256,1.694297
102.9780,1.671237
103.1304,1.642582
103.2828,1.641529
103.4352,1.650364
103.5876,1.651514
103.7400,1.635647
103.8924,1.644396
104.0448,1.648527
104.1972,1.633397
104.3496,1.594434
104.5020,1.540625
104.6544,1.470331
104.8068,1.386202
104.9592,1.317981
105.1116,1.266584
105.2640,1.259696
105.4164,1.254622
105.5688,1.264813
105.7212,1.3035
105.8736,1.365967
106.0260,1.433133
106.1784,1.496369
106.3308,1.530712
106.4832,1.582645
106.6356,1.615234
106.7880,1.614162
106.9404,1.619097
107.0928,1.644367
107.2452,1.656418
107.3976,1.675909
107.5500,1.684616
107.7024,1.71289
107.8548,1.705171
108.0072,1.713305
108.1596,1.725999
108.3120,1.717468
108.4644,1.697095
108.6168,1.698838
108.7692,1.691718
108.9216,1.684144
109.0740,1.68219
109.2264,1.677073
109.3788,1.701209
109.5312,1.684922
109.6836,1.66222
109.8360,1.635541
109.9884,1.644306
110.1408,1.63266
110.2932,1.619998
110.4456,1.617868
110.5980,1.631372
110.7504,1.627555
110.9028,1.616195
111.0552,1.623129
111.2076,1.628092
111.3600,1.625644
111.5124,1.636289
111.6648,1.642865
111.8172,1.642387
111.9696,1.662981
112.1220,1.6654
112.2744,1.665412
112.4268,1.681948
112.5792,1.678223
112.7316,1.687573
112.8840,1.688596
113.0364,1.671633
113.1888,1.66872
113.3412,1.676271
113.4936,1.668113
113.6460,1.658675
113.7984,1.671321
113.9508,1.67099
114.1032,1.679622
114.2556,1.686026
114.4080,1.700718
114.5604,1.687476
114.7128,1.693517
114.8652,1.68516
115.0176,1.680514
115.1700,1.67449
115.3224,1.701212
115.4748,1.704275
115.6272,1.715357
115.7796,1.702808
115.9320,1.71341
116.0844,1.713185
116.2368,1.710322
116.3892,1.679809
116.5416,1.677746
116.6940,1.671335
116.8464,1.676487
116.9988,1.69474
117.1512,1.682884
117.3036,1.679542
117.4560,1.682424
117.6084,1.688533
117.7608,1.688538
117.9132,1.702184
118.0656,1.711408
118.2180,1.702355
118.3704,1.70807
118.5228,1.708512
118.6752,1.703872
118.8276,1.706652
118.9800,1.719983
119.1324,1.699024
119.2848,1.705708
119.4372,1.697722
119.5896,1.714073
119.7420,1.715355
119.8944,1.704573
120.0468,1.689957
120.1992,1.683409
120.3516,1.663652
120.5040,1.6393
120.6564,1.627694
120.8088,1.629438
120.9612,1.642854
121.1136,1.653862
121.2660,1.676238
121.4184,1.679311
121.5708,1.682589
121.7232,1.689591
121.8756,1.711363
122.0280,1.717218
122.1804,1.710495
122.3328,1.718071
122.4852,1.721402
122.6376,1.729246
122.7900,1.726016
122.9424,1.719667
123.0948,1.723292
123.2472,1.723416
123.3996,1.707094
123.5520,1.702625
123.7044,1.698592
123.8568,1.692647
124.0092,1.705503
124.1616,1.719705
124.3140,1.708323
124.4664,1.706087
124.6188,1.71773
124.7712,1.712624
124.9236,1.710327
125.0760,1.724603
125.2284,1.722257
125.3808,1.738078
125.5332,1.716564
125.6856,1.717589
125.8380,1.699851
125.9904,1.705729
126.1428,1.706123
126.2952,1.70396
126.4476,1.703691
126.6000,1.706961
126.7524,1.706436
126.9048,1.713036
127.0572,1.722061
127.2096,1.707358
127.3620,1.694052
127.5144,1.697729
127.6668,1.726015
127.8192,1.741188
127.9716,1.748177
128.1240,1.753408
128.2764,1.747688
128.4288,1.745854
128.5812,1.738595
128.7336,1.70393
128.8860,1.686928
129.0384,1.670318
129.1908,1.668911
129.3432,1.656335
129.4956,1.642163
129.6480,1.643164
129.8004,1.647773
129.9528,1.650765
130.1052,1.657924
130.2576,1.668562
130.4100,1.660345
130.5624,1.657752
130.7148,1.640676
130.8672,1.630082
131.0196,1.605857
131.1720,1.581249
131.3244,1.553566
131.4768,1.525429
131.6292,1.48139
131.7816,1.493484
131.9340,1.486096
132.0864,1.514186
132.2388,1.519452
132.3912,1.566226
132.5436,1.579733
132.6960,1.608224
132.8484,1.630778
133.0008,1.630379
133.1532,1.640725
133.3056,1.669399
133.4580,1.69963
133.6104,1.688485
133.7628,1.688779
133.9152,1.697805
134.0676,1.703029
134.2200,1.689653
134.3724,1.687119
134.5248,1.677196
134.6772,1.655247
134.8296,1.660504
134.9820,1.662912
135.1344,1.681738
135.2868,1.684972
135.4392,1.687378
135.5916,1.680592
135.7440,1.678136
135.8964,1.669304
136.0488,1.663509
136.2012,1.67612
136.3536,1.696464
136.5060,1.721938
136.6584,1.727993
136.8108,1.723263
136.9632,1.710758
137.1156,1.7108
137.2680,1.704648
137.4204,1.706502
137.5728,1.709627
137.7252,1.706536
137.8776,1.710744
138.0300,1.707725
138.1824,1.714375
138.3348,1.699594
138.4872,1.679136
138.6396,1.65665
138.7920,1.640156
138.9444,1.613186
139.0968,1.631259
139.2492,1.627936
139.4016,1.641936
139.5540,1.625141
139.7064,1.643963
139.8588,1.656064
140.0112,1.665675
140.1636,1.645001
140.3160,1.65905
140.4684,1.679608
140.6208,1.698755
140.7732,1.693787
140.9256,1.703645
141.0780,1.719388
141.2304,1.726409
141.3828,1.719527
141.5352,1.716451
141.6876,1.719035
141.8400,1.720319
141.9924,1.725708
142.1448,1.710597
142.2972,1.714819
142.4496,1.712288
142.6020,1.690143
142.7544,1.673796
142.9068,1.666219
143.0592,1.651524
143.2116,1.637073
143.3640,1.629223
143.5164,1.632849
143.6688,1.627479
143.8212,1.618696
143.9736,1.631365
144.1260,1.621946
144.2784,1.596226
144.4308,1.581624
144.5832,1.580816
144.7356,1.54411
144.8880,1.534334
145.0404,1.530519
145.1928,1.521683
145.3452,1.536694
145.4976,1.548911
145.6500,1.563854
145.8024,1.616483
145.9548,1.629415
146.1072,1.653365
146.2596,1.690408
146.4120,1.707165
146.5644,1.708269
146.7168,1.750681
146.8692,1.75622
147.0216,1.752997
147.1740,1.755469
147.3264,1.773492
147.4788,1.777899
147.6312,1.770383
147.7836,1.757269
147.9360,1.75247
148.0884,1.755772
148.2408,1.736899
148.3932,1.713045
148.5456,1.675315
148.6980,1.669414
148.8504,1.649468
149.0028,1.634447
149.1552,1.597726
149.3076,1.624675
149.4600,1.604929
149.6124,1.601639
149.7648,1.618867
149.9172,1.646333
150.0696,1.656108
150.2220,1.652642
150.3744,1.647492
150.5268,1.646188
150.6792,1.658137
150.8316,1.66995
150.9840,1.654009
151.1364,1.672392
151.2888,1.680056
151.4412,1.695227
151.5936,1.706814
151.7460,1.743383
151.8984,1.734696
152.0508,1.743267
152.2032,1.742127
152.3556,1.734189
152.5080,1.73016
152.6604,1.728393
