#HOLE:,U1520B
#EXPEDITION:,372
#TOP:,0.1079
#BOTTOM:,757.3838
DEPTH_LSF,ROP5,RPM_GVR
m,m/h,c/min
38.2079,198.991,23
38.3603,204.6094,24.99998
38.5127,210.9316,25
38.6651,220.8003,25
38.8175,221.9499,24.00213
38.9699,216.9558,24
39.1223,213.3259,24
39.2747,205.9878,27.99997
39.4271,191.7452,28
39.5795,180.8523,28
39.7319,175.3745,27
39.8843,168.7376,27
40.0367,161.2399,27
40.1891,157.4217,27
40.3415,157.2886,25.00422
40.4939,158.3099,25
40.6463,157.3817,23.99369
40.7987,154.8102,24
40.9511,159.4756,28
41.1035,157.4822,28
41.2559,149.6217,27.0021
41.4083,147.1063,27
41.5607,147.105,27
41.7131,145.8297,27
41.8655,143.4552,27
42.0179,112.7599,27
42.1703,85.21446,26.00001
42.3227,85.53127,26
42.4751,82.97806,26
42.6275,84.1535,27
42.7799,85.9573,27
42.9323,86.17755,27
43.0847,87.21049,27
43.2371,88.56982,24.00002
43.3895,88.55882,24
43.5419,104.3111,29
43.6943,146.8647,29
43.8467,146.5179,30
43.9991,148.3607,30
44.1515,145.6549,29.00206
44.3039,144.348,29
44.4563,144.3549,29
44.6087,138.5598,27
44.7611,132.3602,27
44.9135,121.7845,27
45.0659,119.4816,30
45.2183,114.3769,30
45.3707,113.422,30
45.5231,117.3175,30
45.6755,120.7375,30
45.8279,119.5881,25
45.9803,117.6937,25
46.1327,119.3081,29
46.2851,121.2651,29
46.4375,133.2051,29
46.5899,139.596,23
46.7423,152.1078,23
46.8947,159.2163,23
47.0471,151.3704,19
47.1995,146.7936,19
47.3519,142.5362,19
47.5043,133.9289,19
47.6567,134.1675,19
47.8091,137.4314,21.99998
47.9615,140.7231,22
48.1139,142.3661,22
48.2663,139.7974,19
48.4187,134.0615,19
48.5711,140.9118,23.98994
48.7235,145.2826,24
48.8759,150.7224,24
49.0283,160.9472,19
49.1807,160.6643,19
49.3331,158.1681,19
49.4855,152.6886,19
49.6379,147.1444,21.99998
49.7903,144.9362,22
49.9427,146.5568,22
50.0951,140.396,21
50.2475,137.6355,29.99996
50.3999,139.4008,28.00398
50.5523,139.7791,28
50.7047,136.1219,28
50.8571,129.3879,27
51.0095,129.4622,27
51.1619,130.282,28.99998
51.3143,125.5511,29
51.4667,122.4637,29
51.6191,125.3261,29
51.7715,83.56291,29
51.9239,83.38055,25.0079
52.0763,83.74606,25
52.2287,82.77163,25.99999
52.3811,84.70821,26
52.5335,85.256,26
52.6859,85.98074,26
52.8383,88.01316,26
52.9907,90.6376,28
53.1431,92.08384,28
53.2955,141.2358,28
53.4479,130.3485,16
53.6003,130.8867,16
53.7527,132.8344,16.99805
53.9051,131.1448,17
54.0575,130.0702,17
54.2099,126.9167,24.99994
54.3623,122.3124,25
54.5147,117.5909,25
54.6671,115.4894,24
54.8195,119.3036,24
54.9719,127.5314,16
55.1243,109.5741,16
55.2767,107.9245,24.99993
55.4291,111.0081,24.00193
55.5815,113.342,24.99999
55.7339,117.2089,25
55.8863,124.7585,25
56.0387,129.7876,25
56.1911,95.62476,22
56.3435,92.94805,23.99998
56.4959,93.8075,24
56.6483,107.7248,22
56.8007,112.5324,22
56.9531,89.02498,18
57.1055,83.88718,18
57.2579,82.68195,18
57.4103,79.27485,18
57.5627,73.1239,18
57.7151,88.70544,17
57.8675,87.90135,17
58.0199,86.39713,17.99999
58.1723,83.82344,18
58.3247,79.80641,18
58.4771,95.69521,13
58.6295,101.7365,13
58.7819,103.4509,17
58.9343,108.7844,17
59.0867,118.8295,17
59.2391,120.0878,21
59.3915,120.4772,21
59.5439,121.7408,23
59.6963,129.3672,23
59.8487,142.187,23.99059
60.0011,142.3908,24
60.1535,123.7893,20
60.3059,118.9542,20
60.4583,105.109,29
60.6107,100.8308,29
60.7631,104.7117,24
60.9155,109.8169,24
61.0679,110.743,24
61.2203,101.2455,24
61.3727,74.09613,27
61.5251,75.25087,27
61.6775,80.7246,27
61.8299,79.55104,27
61.9823,84.6023,27
62.1347,83.54854,20
62.2871,82.26103,20
62.4395,76.24267,18
62.5919,75.17886,18
62.7443,80.24097,18
62.8967,114.726,18
63.0491,117.0087,18
63.2015,118.3429,18
63.3539,118.2304,28
63.5063,116.6393,28
63.6587,126.0522,28
63.8111,119.793,28
63.9635,131.6008,28
64.1159,136.2512,28
64.2683,137.2935,28
64.4207,136.48,35.99994
64.5731,135.9366,36
64.7255,139.7869,36
64.8779,151.4473,37
65.0303,152.5548,37
65.1827,145.6201,35
65.3351,148.6045,35
65.4875,146.6108,39
65.6399,147.5044,39
65.7923,146.9143,28.00008
65.9447,146.4926,28
66.0971,146.5445,28
66.2495,144.1357,33
66.4019,129.4619,33
66.5543,124.8949,32
66.7067,127.8276,32
66.8591,131.8081,27
67.0115,133.9731,27
67.1639,130.738,32
67.3163,126.9879,32
67.4687,122.1512,32
67.6211,117.3449,29
67.7735,115.0635,29
67.9259,121.1802,29
68.0783,127.3961,25.00715
68.2307,121.242,25
68.3831,121.2648,25
68.5355,119.0219,25
68.6879,120.4092,25
68.8403,122.5815,25
68.9927,125.0714,27
69.1451,129.3104,27
69.2975,134.1357,27
69.4499,141.8672,27
69.6023,150.6411,27.99999
69.7547,171.677,28
69.9071,170.4578,28
70.0595,175.0341,24
70.2119,174.281,24
70.3643,171.45,19
70.5167,172.607,19
70.6691,122.5601,24
