#HOLE:,U1520A
#EXPEDITION:,372
#TOP:,33.3504
#BOTTOM:,96.1393
DEPTH_LSF,A16B,A16H,A16L,A22B,A22H,A22L,A28B,A28H,A28L,A34B,A34H,A34L,A40B,A40H,A40L
m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m
33.3504,1.129849,1.031122,1.14684,1.168923,1.130182,1.177271,1.185737,1.15795,1.192355,1.183699,1.145536,1.192814,1.182106,1.157201,1.187865
33.5028,1.173575,1.119887,1.185826,1.200408,1.162456,1.210528,1.210904,1.190991,1.216403,1.220283,1.22431,1.219151,1.239392,1.273024,1.229378
33.6552,1.173605,1.11995,1.185853,1.200429,1.162478,1.210551,1.210921,1.191014,1.216419,1.220308,1.224366,1.219169,1.239433,1.273108,1.229407
33.8076,1.173605,1.11995,1.185853,1.200429,1.162478,1.210551,1.210921,1.191014,1.216419,1.220308,1.224366,1.219169,1.239433,1.273108,1.229407
33.9600,1.173605,1.11995,1.185853,1.200429,1.162478,1.210551,1.210921,1.191014,1.216419,1.220308,1.224366,1.219169,1.239433,1.273108,1.229407
34.1124,1.173605,1.11995,1.185853,1.200429,1.162478,1.210551,1.210921,1.191014,1.216419,1.220308,1.224366,1.219169,1.239433,1.273108,1.229407
34.2648,1.173605,1.11995,1.185853,1.200429,1.162478,1.210551,1.210921,1.191014,1.216419,1.220308,1.224366,1.219169,1.239433,1.273108,1.229407
34.4172,1.173605,1.11995,1.185853,1.200429,1.162478,1.210551,1.210921,1.191014,1.216419,1.220308,1.224366,1.219169,1.239433,1.273108,1.229407
34.5696,1.173605,1.11995,1.185853,1.200429,1.162478,1.210551,1.210921,1.191014,1.216419,1.220308,1.224366,1.219169,1.239433,1.273108,1.229407
34.7220,1.173605,1.11995,1.185853,1.200429,1.162478,1.210551,1.210921,1.191014,1.216419,1.220308,1.224366,1.219169,1.239433,1.273108,1.229407
34.8744,1.173605,1.11995,1.185853,1.200429,1.162478,1.210551,1.210921,1.191014,1.216419,1.220308,1.224366,1.219169,1.239433,1.273108,1.229407
35.0268,1.173605,1.11995,1.185853,1.200429,1.162478,1.210551,1.210921,1.191014,1.216419,1.220308,1.224366,1.219169,1.239433,1.273108,1.229407
35.1792,1.173605,1.11995,1.185853,1.200429,1.162478,1.210551,1.210921,1.191014,1.216419,1.220308,1.224366,1.219169,1.239433,1.273108,1.229407
35.3316,1.173625,1.119993,1.185868,1.200439,1.162502,1.210557,1.210927,1.191025,1.216424,1.22031,1.22436,1.219174,1.239425,1.273075,1.229407
35.4840,1.211208,1.199938,1.214279,1.217801,1.206479,1.221012,1.221863,1.210656,1.225119,1.22422,1.213378,1.227411,1.225772,1.215976,1.228676
35.6364,1.220832,1.207736,1.224626,1.225939,1.214946,1.229209,1.229443,1.220878,1.23203,1.230123,1.223386,1.232161,1.22862,1.22287,1.230341
35.7888,1.233744,1.216351,1.239212,1.235629,1.226811,1.238389,1.239056,1.232626,1.241098,1.245392,1.235966,1.248508,1.252337,1.240003,1.256595
35.9412,1.227236,1.228482,1.226871,1.231479,1.239688,1.229041,1.237452,1.244872,1.23517,1.240715,1.241981,1.240314,1.239507,1.235861,1.240663
36.0936,1.233734,1.222667,1.237175,1.233361,1.228413,1.23488,1.233647,1.232926,1.233867,1.23365,1.23424,1.233471,1.232729,1.232843,1.232695
36.2460,1.229377,1.223887,1.231026,1.232135,1.228293,1.233305,1.234828,1.231791,1.235765,1.239261,1.234099,1.2409,1.244261,1.235376,1.247179
36.3984,1.221604,1.213446,1.223958,1.226727,1.218045,1.22931,1.229731,1.220677,1.232474,1.231891,1.221388,1.23512,1.233804,1.22136,1.237684
36.5508,1.222842,1.216124,1.22479,1.227055,1.218111,1.229722,1.226702,1.218202,1.229231,1.228204,1.220092,1.230636,1.233795,1.224874,1.23656
36.7032,1.203,1.186042,1.207438,1.215913,1.197514,1.221137,1.223681,1.203376,1.229738,1.227757,1.206865,1.234145,1.230491,1.211952,1.236224
36.8556,1.211644,1.195266,1.21616,1.21883,1.201905,1.223707,1.220791,1.205286,1.225301,1.22201,1.207684,1.226198,1.225283,1.211218,1.229472
37.0080,1.193206,1.166694,1.199826,1.209577,1.186133,1.216037,1.219166,1.19721,1.225561,1.224145,1.199807,1.231475,1.227777,1.200232,1.2363
37.1604,1.209306,1.192198,1.213963,1.21743,1.20029,1.22233,1.223033,1.206442,1.227931,1.226461,1.209635,1.23153,1.228361,1.210773,1.233725
37.3128,1.197642,1.180036,1.202101,1.21218,1.187363,1.219144,1.222185,1.191453,1.231439,1.225535,1.19416,1.235182,1.224173,1.197555,1.232223
37.4652,1.226408,1.219777,1.22837,1.233856,1.232727,1.2342,1.241466,1.243778,1.240732,1.24531,1.249138,1.244074,1.244396,1.249408,1.242789
37.6176,1.222513,1.209882,1.226205,1.231662,1.223306,1.234218,1.23848,1.2302,1.24111,1.242616,1.23236,1.245961,1.244755,1.234614,1.248102
37.7700,1.235382,1.233311,1.236022,1.241872,1.233964,1.24443,1.245995,1.239427,1.248162,1.248731,1.247205,1.249237,1.250515,1.252223,1.249945
37.9224,1.232873,1.219184,1.237128,1.23944,1.224621,1.244228,1.24485,1.230488,1.249627,1.248004,1.235224,1.252316,1.248706,1.23763,1.252447
38.0748,1.244744,1.241314,1.245862,1.251176,1.244377,1.253485,1.253761,1.246353,1.256315,1.251694,1.248573,1.25275,1.247484,1.251386,1.24621
38.2272,1.24943,1.248123,1.249865,1.256356,1.255008,1.256821,1.262651,1.263355,1.2624,1.266271,1.269683,1.265041,1.266572,1.271739,1.264712
38.3796,1.24622,1.236629,1.249408,1.25118,1.242846,1.254018,1.255436,1.250094,1.257286,1.257221,1.254718,1.258092,1.256314,1.254985,1.256774
38.5320,1.250872,1.238028,1.255275,1.252184,1.239765,1.256468,1.254448,1.244622,1.257861,1.252653,1.246675,1.254695,1.246162,1.242716,1.247295
38.6844,1.246823,1.242757,1.248165,1.250374,1.243295,1.252769,1.254053,1.245877,1.25688,1.255612,1.246762,1.2587,1.254215,1.243791,1.257837
38.8368,1.255321,1.247521,1.258034,1.257042,1.250443,1.259353,1.259384,1.254974,1.260941,1.26073,1.257879,1.26174,1.260075,1.257144,1.261111
38.9892,1.247232,1.240353,1.249519,1.250376,1.245246,1.252105,1.254393,1.250816,1.255622,1.256434,1.253377,1.257494,1.255236,1.251699,1.256456
39.1416,1.235699,1.235117,1.235878,1.247569,1.247605,1.247557,1.253425,1.25436,1.253108,1.253419,1.258343,1.251762,1.251306,1.263594,1.247269
39.2940,1.2346,1.227554,1.236786,1.244395,1.242578,1.244985,1.249513,1.249331,1.249574,1.252834,1.252227,1.25304,1.256774,1.257529,1.256514
39.4464,1.231589,1.222016,1.234522,1.237959,1.228637,1.240918,1.242576,1.231783,1.246099,1.246172,1.2321,1.250885,1.24891,1.232045,1.254672
39.5988,1.217375,1.204239,1.221104,1.225897,1.209946,1.23068,1.231642,1.211793,1.237836,1.235777,1.213268,1.243002,1.239055,1.217088,1.246231
39.7512,1.219846,1.205513,1.223983,1.227471,1.214243,1.231455,1.232844,1.220423,1.236696,1.235966,1.222452,1.240239,1.237391,1.22183,1.242368
39.9036,1.221187,1.206952,1.225327,1.228113,1.216978,1.231467,1.233617,1.224154,1.236549,1.236285,1.226277,1.239436,1.236303,1.225077,1.239845
40.0560,1.220374,1.207292,1.224154,1.22828,1.213703,1.2327,1.235664,1.219595,1.24076,1.238477,1.222469,1.243634,1.236233,1.222064,1.240724
40.2084,1.218959,1.203267,1.223475,1.224277,1.210523,1.228347,1.230623,1.217752,1.234567,1.23406,1.220747,1.238223,1.232997,1.218802,1.237417
40.3608,1.229917,1.219855,1.232974,1.233014,1.226957,1.234874,1.23667,1.234183,1.237444,1.237256,1.237448,1.237197,1.234061,1.235888,1.233505
40.5132,1.227904,1.214739,1.231879,1.228181,1.215197,1.232105,1.231242,1.217643,1.23543,1.234761,1.221456,1.238938,1.236009,1.224301,1.2397
40.6656,1.227097,1.223769,1.22808,1.226189,1.217782,1.228681,1.227061,1.215598,1.230494,1.233708,1.222901,1.237066,1.243464,1.235836,1.245952
40.8180,1.223232,1.208461,1.227584,1.227059,1.215634,1.230481,1.232346,1.219676,1.236265,1.242721,1.234582,1.245368,1.255848,1.261915,1.253784
40.9704,1.209091,1.187891,1.214894,1.222588,1.202065,1.228672,1.231093,1.211333,1.237239,1.245363,1.237835,1.247844,1.267298,1.284703,1.261146
41.1228,1.119561,1.024746,1.134266,1.201889,1.154077,1.214983,1.239846,1.21636,1.247574,1.270343,1.288498,1.263836,1.336597,1.44551,1.291735
41.2752,1.129825,1.044134,1.144244,1.203853,1.173498,1.212006,1.238487,1.239117,1.238284,1.258863,1.280089,1.251719,1.298946,1.35903,1.276037
41.4276,1.017585,0.7210683,1.025243,1.120014,0.8974466,1.163504,1.176926,1.008551,1.226115,1.208736,1.089407,1.248108,1.265959,1.234358,1.278134
41.5800,1.001391,0.6016649,1.00232,1.107495,0.7992132,1.171154,1.186453,0.9697117,1.264332,1.221729,1.0479,1.294181,1.248841,1.111368,1.310853
41.7324,1.014133,0.7074116,1.020576,1.141144,0.9591781,1.181491,1.226196,1.145609,1.253573,1.241325,1.170003,1.267352,1.256374,1.187496,1.283647
41.8848,0.9972811,0.5809139,0.9972811,1.103111,0.7831951,1.167457,1.183843,0.9583063,1.265266,1.219121,1.02776,1.301858,1.245924,1.081769,1.324938
42.0372,0.9912843,0.5961624,0.9912843,1.075235,0.7069306,1.13052,1.135286,0.8314268,1.22197,1.176724,0.9247891,1.269814,1.209541,0.9958348,1.302003
42.1896,1.076921,0.8189536,1.108218,1.139993,0.9354022,1.187062,1.202614,1.068499,1.246475,1.246982,1.16098,1.280504,1.264461,1.192064,1.294711
42.3420,1.053886,0.7935346,1.074994,1.129966,0.9056017,1.178825,1.196056,1.024774,1.25454,1.243977,1.113055,1.300118,1.268281,1.14971,1.325501
42.4944,1.062209,0.809727,1.085951,1.133084,0.936015,1.174841,1.203509,1.084427,1.241404,1.25701,1.191228,1.28297,1.283193,1.231753,1.305859
42.6468,1.0557,0.8376954,1.072819,1.132431,0.981871,1.16141,1.204511,1.126168,1.227596,1.256029,1.21241,1.272356,1.291062,1.266704,1.30158
42.7992,1.020512,0.7477328,1.028518,1.118863,0.9052851,1.159347,1.193437,1.049984,1.238323,1.24461,1.151898,1.280809,1.289336,1.232821,1.315369
42.9516,1.021932,0.7737249,1.029469,1.116261,0.9225823,1.150601,1.189611,1.060738,1.227581,1.242748,1.160662,1.273678,1.290128,1.243872,1.311007
43.1040,0.7739304,0.4476468,0.7739294,0.9427161,0.5614393,0.9427161,1.049665,0.6433308,1.089709,1.094162,0.6992136,1.182088,1.137157,0.8093516,1.241562
43.2564,0.8619087,0.525724,0.8619057,0.9596887,0.5613408,0.9596885,1.039759,0.6385489,1.069927,1.087613,0.7048622,1.161136,1.103729,0.704121,1.209848
43.4088,0.7703217,0.4246977,0.7703183,0.9813141,0.5149187,0.9813139,1.061421,0.5956758,1.132664,1.097422,0.6947241,1.194923,1.169382,0.8992043,1.268581
43.5612,0.9042789,0.5980812,0.9042758,1.06349,0.8181375,1.086806,1.151068,0.9878322,1.189127,1.207497,1.107054,1.239032,1.318935,1.315006,1.320774
43.7136,0.8491525,0.5887865,0.8491523,0.971706,0.6091236,0.971706,1.051139,0.6610093,1.089476,1.101874,0.7430346,1.181381,1.143978,0.8206102,1.254189
