#HOLE:,U1520A
#EXPEDITION:,372
#TOP:,0.1272
#BOTTOM:,104.3689
DEPTH_LSF,ROP5,RPM_GVR
m,m/h,c/min
37.1604,47.64462,27.99999
37.3128,49.7232,23.00487
37.4652,58.91848,36
37.6176,59.79774,34
37.7700,50.93277,34
37.9224,47.35636,34.99698
38.0748,52.08627,34.00101
38.2272,48.88023,34.00078
38.3796,50.19915,35.9992
38.5320,54.01138,25.01217
38.6844,53.0551,34.98983
38.8368,46.51871,36
38.9892,42.75754,25
39.1416,43.23426,34.98977
39.2940,42.86728,35
39.4464,42.5026,33
39.5988,42.67692,35.00045
39.7512,40.31654,36.00046
39.9036,40.26918,35
40.0560,34.64668,36
40.2084,33.35598,36.99792
40.3608,36.00499,37.00295
40.5132,38.31265,43
40.6656,32.6254,43
40.8180,31.71886,43
40.9704,32.59501,44
41.1228,30.58989,42
41.2752,32.69584,42.00214
41.4276,23.78233,46
41.5800,26.05768,45.99945
41.7324,25.89651,44.99944
41.8848,24.08928,44
42.0372,24.0297,42.00171
42.1896,27.04114,40
42.3420,30.59813,37
42.4944,30.70296,37
42.6468,32.44302,38.99785
42.7992,33.33945,33.00827
42.9516,54.01352,39.99569
43.1040,55.31526,39
43.2564,68.59081,39.99892
43.4088,77.74516,40.00064
43.5612,77.72773,43
43.7136,42.99214,39.00195
43.8660,37.60782,43.9989
44.0184,39.08668,39.002
44.1708,40.66522,44
44.3232,37.06193,44.99593
44.4756,34.66011,42
44.6280,30.92817,38.00661
44.7804,32.24237,40
44.9328,31.30111,39.0011
45.0852,30.9692,38
45.2376,42.01596,41
45.3900,39.19436,40
45.5424,38.96777,38.00074
45.6948,34.42306,40.99999
45.8472,33.80951,35.003
45.9996,35.5977,41.99664
46.1520,34.09238,39.00001
46.3044,31.75339,42.99887
46.4568,31.64255,41.99549
46.6092,27.15087,42.99921
46.7616,27.71782,41.00113
46.9140,30.81209,44.99659
47.0664,30.47761,43
47.2188,25.65437,40.00113
47.3712,27.68708,36.00001
47.5236,26.18606,40.00083
47.6760,25.76493,41
47.8284,25.86781,40
47.9808,25.17125,38
48.1332,25.61689,40
48.2856,25.12041,40
48.4380,22.92373,39.99913
48.5904,22.20562,39.00001
48.7428,24.02291,42.99734
48.8952,23.88327,30
49.0476,24.61331,30
49.2000,26.3291,38.9895
49.3524,23.58104,40.99767
49.5048,25.36381,38.00586
49.6572,24.65615,43.00186
49.8096,25.34451,45
49.9620,28.8289,45
50.1144,27.84265,44
50.2668,28.45752,44
50.4192,27.4962,41.00355
50.5716,28.47913,41
50.7240,27.85126,41
50.8764,33.68823,42
51.0288,28.31021,42
51.1812,26.7975,43
51.3336,27.59608,43
51.4860,28.30745,43
51.6384,31.58174,42.98668
51.7908,38.57642,30
51.9432,39.94849,43
52.0956,38.18982,42.00121
52.2480,43.88715,38
52.4004,42.31928,36.00242
52.5528,52.55392,36.00107
52.7052,87.56895,37
52.8576,83.7074,36.00001
53.0100,82.16946,38
53.1624,81.11575,40.99755
53.3148,73.04873,40.99998
53.4672,73.20579,37.99755
53.6196,65.11019,41.99665
53.7720,61.32227,39.99877
53.9244,63.15962,39
54.0768,69.53899,40
54.2292,65.87937,42
54.3816,64.68583,41
54.5340,55.50401,41.99884
54.6864,47.27117,41
54.8388,44.98938,38.00125
54.9912,42.32876,38.99875
55.1436,31.27852,39.00001
55.2960,30.83282,41.9976
55.4484,30.17829,40
55.6008,29.27957,41.99874
55.7532,28.04858,41
55.9056,28.11259,41.99878
56.0580,27.13274,39.00253
56.2104,25.47973,39.00124
56.3628,23.46373,39.00254
56.5152,24.25708,40.99619
56.6676,30.70958,39.00505
56.8200,29.27895,42.00191
56.9724,27.65268,41.00128
57.1248,26.26971,41
57.2772,25.83138,43
57.4296,23.49573,43
57.5820,25.50104,44
57.7344,29.00055,42.99738
57.8868,29.63032,41
58.0392,28.5617,41.99871
58.1917,27.13629,42
58.3441,29.18456,42
58.4965,25.38079,40.99865
58.6489,26.93284,40.00001
58.8013,27.61268,41.99864
58.9537,30.8134,40.99589
59.1061,26.85113,38.0095
59.2585,25.39571,43
59.4109,28.20178,44
59.5633,27.41275,43.99999
59.7157,26.0047,41
59.8681,25.87983,39.00001
60.0205,30.12491,42
60.1729,28.59506,42.99868
60.3253,29.32427,43
60.4777,27.33568,43
60.6301,27.08819,42
60.7825,29.28019,41
60.9349,29.84738,42.00002
61.0873,32.63497,46.00147
61.2397,40.32758,44.00401
61.3921,38.6799,42.99866
61.5445,40.11897,40
61.6969,43.65122,41.0015
61.8493,46.78616,34.00002
62.0017,50.90845,38.00151
62.1541,53.84421,39.00001
62.3065,46.08232,41
62.4589,45.54869,39.00135
62.6113,41.38774,39.00309
62.7637,37.23693,41
62.9161,38.05045,40.00001
63.0685,37.49009,42.99844
63.2209,34.69649,40
