#HOLE:,U1520A
#EXPEDITION:,372
#TOP:,0.1272
#BOTTOM:,104.3689
DEPTH_LSF,RES_BD,RES_BIT,RES_BM,RES_BS,RES_RING
m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m
0.1272,0.3350589,0.4640367,0.3207456,0.3289112,0.3399005
0.2796,0.3213855,0.474615,0.3347505,0.3418579,0.3167685
0.4320,0.3390907,0.5819123,0.3490428,0.3550433,0.2974394
0.5844,0.3583614,0.7516195,0.3636118,0.3911322,0.3210368
0.7368,0.3783597,0.7474921,0.4159054,0.4543973,0.3541308
0.8892,0.4221428,0.6652929,0.5017672,0.5451303,0.391025
1.0416,0.4973815,0.7497439,0.6362054,0.6161353,0.4465572
1.1940,0.6095896,0.9740497,0.7170169,0.6503103,0.5353017
1.3464,0.7079377,0.9483844,0.7623523,0.6894681,0.6666952
1.4988,0.7657666,0.9248162,0.8055646,0.7352434,0.7770376
1.6512,0.8322433,0.9213481,0.8052585,0.7966478,0.8054953
1.8036,0.8048198,0.9294351,0.8043736,0.8041123,0.8372297
1.9560,0.7744905,0.9376643,0.8351749,0.7971401,0.815651
2.1084,0.7947572,0.9370936,0.8668878,0.790572,0.7846186
2.2608,0.8274662,0.9178343,0.8898575,0.7890702,0.7905651
2.4132,0.8612059,0.8993142,0.8641563,0.7869781,0.8107192
2.5656,0.8703243,0.8962753,0.8380571,0.7842818,0.8324849
2.7180,0.8796542,0.9441505,0.818903,0.8558881,0.8125073
2.8704,0.8889917,0.997138,0.8335263,0.9373074,0.7899393
3.0228,0.8652287,1.021156,0.8488618,0.9012666,0.7651606
3.1752,0.8447605,1.026903,0.8733035,0.7850702,0.8079951
3.3276,0.8847663,1.029676,0.8080045,0.8785025,0.8584061
3.4800,0.857073,1.029284,0.9193451,0.92721,0.9396716
3.6324,0.8825925,1.028893,0.9153926,0.9057921,0.9204734
3.7848,0.8920459,1.038816,0.8796742,0.9067938,0.9065845
3.9372,0.8814242,1.054325,0.8791703,0.9050219,0.8785477
4.0896,0.8785613,1.070294,0.8953868,0.8611173,0.8399881
4.2420,0.9165444,1.091811,0.8805229,0.8053636,0.8044918
4.3944,0.947759,1.116594,0.8572643,0.8943568,0.8727217
4.5468,0.9731761,1.136953,0.8521854,0.9474971,0.9212426
4.6992,0.9943733,1.10472,0.9162888,0.9882069,0.9218013
4.8516,0.9909275,1.06359,0.882687,1.005983,0.9911624
5.0040,0.9825402,1.10842,0.8715024,0.9570638,1.000061
5.1564,0.970095,1.160686,0.9559768,1.061993,0.9804752
5.3088,0.9283052,1.113832,1.009757,0.8931661,0.9624244
5.4612,1.014524,1.132867,0.8370141,0.9192564,0.9131923
5.6136,0.8747321,1.176354,0.9877377,1.028908,1.014995
5.7660,1.034553,1.051872,0.9610656,0.9523836,0.9279432
5.9184,1.007959,1.083589,1.003225,0.916447,0.9975807
6.0708,0.9553627,1.13262,0.9844606,0.8648034,0.9550033
6.2232,0.9972867,1.164016,0.9135005,0.9777941,0.9710957
6.3756,0.9727985,1.134369,1.014444,0.9474319,0.9526983
6.5280,0.9646046,1.140749,0.9428628,0.9553693,0.9275467
6.6804,0.9161055,1.209453,0.996246,1.052691,1.007871
6.8328,0.9452267,1.150404,1.069088,0.9555239,0.9737761
6.9852,1.055225,1.226329,1.001356,0.9771442,0.9665797
7.1376,0.9845131,1.146835,0.8714114,1.010662,1.132218
7.2900,0.9090979,1.110864,0.8813404,0.9949705,0.9927046
7.4424,0.9178491,1.086532,0.9783162,0.8637179,0.9169954
7.5948,1.07166,1.102244,0.9676361,0.8885967,0.918576
7.7472,0.9837798,1.125922,0.9042786,0.9236506,1.060316
7.8996,0.9734975,1.127801,0.9846842,0.9387527,0.9502727
8.0520,1.008237,1.104783,1.014084,0.9790239,0.9072787
8.2044,1.006328,1.27479,0.9587185,1.086989,0.9344991
8.3568,1.003293,1.147907,0.8869537,1.032565,0.9782366
8.5092,1.0154,1.116056,0.9941156,0.9918382,1.015034
8.6616,1.081859,1.214695,1.055334,0.9510513,1.020035
8.8140,1.079422,1.13053,1.09512,1.057125,1.043187
8.9664,1.006625,1.164349,1.123021,0.9984695,1.022021
9.1188,1.073038,1.16628,0.9699478,1.018273,0.9359307
9.2712,1.059384,1.201074,0.9873607,0.8996932,1.003989
9.4236,0.9509964,1.241459,1.049198,1.0129,0.9246139
9.5760,1.106155,1.219551,0.996531,0.947463,1.023125
9.7284,1.156482,1.243773,1.186753,0.9390122,1.009577
9.8808,1.18101,1.226246,0.8740266,0.9795306,1.094044
10.0332,1.156942,1.204399,0.9592444,0.9546697,1.044686
10.1856,1.138884,1.257516,1.168919,1.042549,1.074149
10.3380,1.112849,1.293487,1.044683,1.090666,1.151294
10.4904,1.017112,1.206092,1.043752,1.058913,1.036037
10.6428,0.8500844,1.164228,1.180559,0.9674496,0.9784192
10.7952,1.080793,1.174899,1.04454,1.135652,1.142424
10.9476,1.001403,1.224539,1.183375,1.113928,1.038613
11.1000,1.113873,1.278096,1.153116,1.14968,1.010453
11.2524,1.090658,1.252491,1.225499,1.05751,1.122025
11.4048,1.170932,1.269698,1.168085,1.120385,1.132376
11.5572,1.074058,1.228215,1.087788,1.018702,1.10742
11.7096,1.015361,1.275018,1.02952,0.9772412,1.114545
11.8620,0.994173,1.244344,0.9663547,1.036279,0.9514857
12.0144,1.063267,1.287241,0.8366296,0.953549,1.012131
12.1668,1.19418,1.334936,1.071787,0.9735627,0.9775509
12.3192,1.102257,1.110513,1.115909,0.9795926,1.139299
12.4716,1.159858,1.200449,1.185164,1.017442,1.113786
12.6240,1.223464,1.126893,1.14856,1.057766,1.182448
12.7764,1.135215,1.181239,1.219781,1.104429,1.238192
12.9288,1.266392,1.385934,1.143554,1.162364,1.137983
13.0812,1.183436,1.376231,1.170246,1.06093,1.213374
13.2336,1.314602,1.291095,1.271515,1.183995,1.179001
13.3860,1.188318,1.192192,1.305701,1.102624,1.195748
13.5384,1.319156,1.195823,1.254222,1.313868,1.211136
13.6908,1.217101,1.229406,1.368134,1.157168,1.207598
13.8432,1.360338,1.251415,1.1699,1.199734,1.138739
13.9956,1.148896,1.230017,1.183897,1.089404,1.338369
14.1480,1.266695,1.331536,1.114646,1.132825,1.13262
14.3004,1.225917,1.258434,1.259958,1.074659,1.289372
14.4528,1.245529,1.313959,1.245345,1.1442,1.170389
14.6052,1.139276,1.271561,1.004072,1.20752,1.144491
14.7576,1.11151,1.298556,1.144055,0.953097,1.099518
