#HOLE:,U1528D
#EXPEDITION:,376
#TOP:,0.0229
#BOTTOM:,332.5597
DEPTH_WMSF,TENS,CS,ETIM
m,lbf,m/h,s
23.9497,2113.843,543.2663,2106.342
24.1021,2033.618,543.8068,2105.317
24.2545,2059.209,543.8948,2104.296
24.4069,2146.162,543.2763,2103.276
24.5593,2200.296,543.7104,2102.265
24.7117,2204.18,544.5853,2101.242
24.8641,2154.759,544.4913,2100.22
25.0165,2068.469,546.1778,2099.194
25.1689,2001.087,548.3018,2098.171
25.3213,2071.054,546.2413,2097.165
25.4737,2182.618,545.4462,2096.161
25.6261,2226.755,543.6481,2095.149
25.7785,2244.502,541.7819,2094.135
25.9309,2183.027,542.4085,2093.104
26.0833,2088.27,543.6306,2092.074
26.2357,2096.144,545.0418,2091.059
26.3881,2151.996,546.228,2090.045
26.5405,2197.388,545.4927,2089.023
26.6929,2193.828,544.1608,2088.003
26.8453,2151.824,543.7632,2086.991
26.9977,2146.32,543.7632,2085.969
27.1501,2150.221,543.5811,2084.958
27.3025,2140.92,543.829,2083.94
27.4549,2145.664,543.5021,2082.909
27.6073,2140.924,543.7295,2081.889
27.7597,2125.39,544.068,2080.866
27.9121,2118.697,544.4652,2079.847
28.0645,2121.312,544.8795,2078.833
28.2169,2143.874,544.5719,2077.819
28.3693,2153.316,545.207,2076.804
28.5217,2166.198,545.1686,2075.779
28.6741,2192.469,545.4127,2074.76
28.8265,2210.313,544.5002,2073.748
28.9789,2216.908,543.8464,2072.735
29.1313,2178.151,544.6629,2071.722
29.2837,2147.525,544.2977,2070.695
29.4361,2164.792,544.9943,2069.677
29.5885,2172,545.5223,2068.649
29.7409,2208.831,542.2481,2067.631
29.8933,2207.872,545.2013,2066.604
30.0457,2136.453,547.6764,2065.594
30.1981,2147.795,545.5387,2064.589
30.3505,2221.154,542.7081,2063.576
30.5029,2263.586,542.2392,2062.547
30.6553,2269,543.0187,2061.514
30.8077,2271.591,542.6272,2060.512
30.9601,2228.244,543.611,2059.487
31.1125,2128.957,544.0333,2058.472
31.2649,2098.147,543.5207,2057.443
31.4173,2172.396,545.1216,2056.412
31.5697,2256.459,543.3218,2055.396
31.7221,2262.067,548.2719,2054.365
31.8745,2272.383,546.3385,2053.366
32.0269,2271.089,546.4929,2052.353
32.1793,2186.849,553.8769,2051.337
32.3317,2096.872,565.7637,2050.322
32.4841,2135.585,566.9188,2049.324
32.6365,2254.137,566.0082,2048.361
32.7889,2339.812,562.6608,2047.382
32.9413,2324.95,562.6761,2046.401
33.0937,2321.49,563.1608,2045.421
33.2461,2276.333,560.4257,2044.423
33.3985,2174.331,564.8289,2043.443
33.5509,2036.336,569.5095,2042.447
33.7033,2066.055,558.3331,2041.481
33.8557,2210.092,545.5353,2040.498
34.0081,2297.473,526.6296,2039.495
34.1605,2298.934,520.6194,2038.447
34.3129,2335.17,518.6988,2037.385
34.4653,2261.229,520.5903,2036.334
34.6177,2155.714,522.7963,2035.253
34.7701,2054.669,524.519,2034.19
34.9225,2141.054,522.1486,2033.138
35.0749,2253.398,519.4356,2032.074
35.2273,2306.623,520.2838,2031.009
35.3797,2293.078,522.9227,2029.944
35.5321,2255.733,523.5793,2028.878
35.6845,2228.378,523.3416,2027.813
35.8369,2237.327,523.4156,2026.749
35.9893,2277.93,523.4138,2025.684
36.1417,2241.027,523.2988,2024.625
36.2941,2156.445,524.8656,2023.571
36.4465,2131.889,523.7209,2022.51
36.5989,2195.03,519.713,2021.456
36.7513,2260.346,516.9408,2020.394
36.9037,2267.424,519.1083,2019.331
37.0561,2224.597,522.8297,2018.26
37.2085,2192.19,521.1024,2017.196
37.3609,2179.994,521.3392,2016.132
37.5133,2175.801,521.8973,2015.067
37.6657,2157.709,522.0935,2014.008
37.8181,2100.076,523.1565,2012.952
37.9705,2098.015,522.972,2011.886
38.1229,2142.707,522.3006,2010.822
38.2753,2182.91,521.8622,2009.758
38.4277,2208.372,521.6463,2008.694
38.5801,2205,521.6805,2007.636
38.7325,2194.387,521.3722,2006.572
38.8849,2169.708,522.0726,2005.498
39.0373,2175.846,522.5942,2004.433
39.1897,2215.824,523.0283,2003.367
39.3421,2224.923,523.644,2002.31
39.4945,2212.964,523.0313,2001.27
39.6469,2224.851,522.732,2000.225
39.7993,2236.45,522.5745,1999.169
39.9517,2206.39,522.4272,1998.111
40.1041,2174.234,522.587,1997.054
40.2565,2194.351,521.7661,1995.997
40.4089,2240.948,520.0922,1994.949
40.5613,2265.214,517.2566,1993.901
40.7137,2263.685,513.7729,1992.834
40.8661,2257.827,512.5344,1991.76
41.0185,2226.445,512.5068,1990.686
41.1709,2206.966,511.8643,1989.621
41.3233,2239.871,511.4544,1988.548
41.4757,2255.734,510.773,1987.468
41.6281,2234.803,510.4068,1986.394
41.7805,2205.427,510.3672,1985.308
41.9329,2184.009,510.5832,1984.235
42.0853,2210.166,510.8448,1983.159
42.2377,2250.761,510.3163,1982.08
42.3901,2295.012,510.2852,1981.007
