#HOLE:,U1517A
#EXPEDITION:,372
#TOP:,0.0129
#BOTTOM:,204.3508
DEPTH_LSF,GR_RAB
m,gAPI
9.5532,56.35053
9.5836,56.80001
9.6141,56.95318
9.6446,57.10661
9.6751,57.25978
9.7056,57.4129
9.7360,57.56602
9.7665,57.58722
9.7970,57.60836
9.8275,57.62951
9.8580,57.65065
9.8884,57.67176
9.9189,57.5022
9.9494,57.33306
9.9799,57.16385
10.0104,56.99471
10.0408,56.82529
10.0713,56.71987
10.1018,56.6145
10.1323,56.50909
10.1628,56.40372
10.1932,56.29827
10.2237,56.28769
10.2542,56.27712
10.2847,56.26655
10.3152,56.25596
10.3456,56.2455
10.3761,56.30247
10.4066,56.35942
10.4371,56.41639
10.4676,56.47346
10.4980,56.53
10.5285,56.3236
10.5590,56.11729
10.5895,55.9109
10.6200,55.70417
10.6504,55.49786
10.6809,55.35356
10.7114,55.20931
10.7419,55.065
10.7724,54.92047
10.8028,54.77747
10.8333,55.63718
10.8638,56.49652
10.8943,57.35796
10.9248,58.21729
10.9552,59.07663
10.9857,59.61532
11.0162,60.15377
11.0467,60.69353
11.0772,61.23198
11.1076,61.76951
11.1381,61.14246
11.1686,60.51444
11.1991,59.88739
11.2296,59.26063
11.2600,58.63406
11.2905,58.57367
11.3210,58.51319
11.3515,58.4528
11.3820,58.39245
11.4124,58.33245
11.4429,58.84418
11.4734,59.35672
11.5039,59.86845
11.5344,60.37996
11.5648,60.89138
11.5953,60.80951
11.6258,60.7275
11.6563,60.64562
11.6868,60.56378
11.7172,60.48185
11.7477,60.247
11.7782,60.01273
11.8087,59.77836
11.8392,59.54409
11.8696,59.30977
11.9001,59.34737
11.9306,59.38488
11.9611,59.42241
11.9916,59.45992
12.0220,59.4978
12.0525,59.66653
12.0830,59.83519
12.1135,60.00393
12.1440,60.17292
12.1744,60.34148
12.2049,60.41572
12.2354,60.48992
12.2659,60.56416
12.2964,60.63851
12.3268,60.71234
12.3573,60.55623
12.3878,60.40018
12.4183,60.24407
12.4488,60.08772
12.4792,59.93123
12.5097,59.53785
12.5402,59.14463
12.5707,58.75124
12.6012,58.35724
12.6316,57.96424
12.6621,57.84364
12.6926,57.7231
12.7231,57.6025
12.7536,57.48171
12.7840,57.36185
12.8145,57.8236
12.8450,58.28516
12.8755,58.74784
12.9060,59.20939
12.9364,59.67095
12.9669,59.96264
12.9974,60.2542
13.0279,60.54647
13.0584,60.83804
13.0888,61.12956
13.1193,61.25494
13.1498,61.38051
13.1803,61.50588
13.2108,61.6312
13.2412,61.75658
13.2717,61.87683
13.3022,61.99728
13.3327,62.11753
13.3632,62.23774
13.3936,62.35781
13.4241,62.17102
13.4546,61.98395
13.4851,61.79716
13.5156,61.61047
13.5460,61.42366
13.5765,61.1985
13.6070,60.97298
13.6375,60.74782
13.6680,60.52275
13.6984,60.2976
13.7289,60.08788
13.7594,59.87867
13.7899,59.66937
13.8204,59.46017
13.8508,59.2509
13.8813,59.26954
13.9118,59.28812
13.9423,59.30671
13.9728,59.32529
14.0032,59.3442
14.0337,59.50267
14.0642,59.66107
14.0947,59.81954
14.1252,59.97825
14.1556,60.13677
14.1861,60.32322
14.2166,60.50957
14.2471,60.69601
14.2776,60.88275
14.3080,61.06917
14.3385,61.24401
14.3690,61.41878
14.3995,61.59362
14.4300,61.76873
14.4604,61.94331
14.4909,61.94416
14.5214,61.94501
14.5519,61.94587
14.5824,61.94672
14.6128,61.94774
14.6433,62.07005
14.6738,62.1923
14.7043,62.3146
14.7348,62.4371
14.7652,62.55912
14.7957,62.44995
14.8262,62.34083
14.8567,62.23144
14.8872,62.12232
14.9176,62.01283
14.9481,61.60259
14.9786,61.19171
15.0091,60.78147
15.0396,60.37141
15.0700,59.96121
15.1005,59.59362
15.1310,59.22544
15.1615,58.85785
15.1920,58.49041
15.2224,58.12366
15.2529,58.89399
15.2834,59.66552
15.3139,60.43585
15.3444,61.20584
15.3748,61.97689
15.4053,63.98135
15.4358,65.98895
15.4663,67.99341
15.4968,69.99698
15.5272,72.00117
15.5577,73.35983
15.5882,74.7206
15.6187,76.07925
15.6492,77.43731
15.6796,78.7957
15.7101,79.16642
15.7406,79.53624
15.7711,79.90623
15.8016,80.27605
15.8320,80.6436
15.8625,79.51302
15.8930,78.38292
15.9235,77.25233
15.9540,76.12224
15.9844,74.98789
16.0149,73.0897
16.0454,71.19234
16.0759,69.29416
16.1064,67.393
16.1368,65.4979
16.1673,65.32255
16.1978,65.14726
16.2283,64.97192
16.2588,64.79628
16.2892,64.62341
16.3197,65.96552
16.3502,67.30703
16.3807,68.64914
16.4112,69.99335
16.4416,71.33504
16.4721,72.40047
16.5026,73.46543
16.5331,74.53085
16.5636,75.59795
16.5940,76.66233
16.6245,76.9315
16.6550,77.20055
16.6855,77.47026
16.7160,77.73932
16.7464,78.0084
16.7769,78.20081
16.8074,78.39314
16.8379,78.58595
16.8684,78.77827
16.8988,78.97098
16.9293,79.4561
16.9598,79.94199
16.9903,80.4271
17.0208,80.91201
