#HOLE:,U1520A
#EXPEDITION:,372
#TOP:,0.0052
#BOTTOM:,103.4544
DEPTH_LSF,GR_RAB
m,gAPI
0.0052,1.706976
0.0357,1.764029
0.0662,1.821437
0.0967,1.87849
0.1272,1.935897
0.1576,2.366736
0.1881,2.802242
0.2186,3.233545
0.2491,3.66904
0.2796,4.104034
0.3100,4.884255
0.3405,5.672122
0.3710,6.452358
0.4015,7.240205
0.4320,8.020459
0.4624,8.912669
0.4929,9.799951
0.5234,10.69275
0.5539,11.58003
0.5844,12.47281
0.6148,13.26077
0.6453,14.04346
0.6758,14.83101
0.7063,15.61369
0.7368,16.40124
0.7672,16.99424
0.7977,17.58322
0.8282,18.17586
0.8587,18.76484
0.8892,19.35748
0.9196,19.82946
0.9501,20.30606
0.9806,20.77806
1.0111,21.25465
1.0416,21.72666
1.0720,22.13285
1.1025,22.53611
1.1330,22.94188
1.1635,23.34837
1.1940,23.75092
1.2244,24.11408
1.2549,24.47482
1.2854,24.8378
1.3159,25.19854
1.3464,25.56151
1.3768,25.9245
1.4073,26.28524
1.4378,26.64822
1.4683,27.00896
1.4988,27.37193
1.5292,27.72487
1.5597,28.08125
1.5902,28.43419
1.6207,28.79057
1.6512,29.14352
1.6816,29.64407
1.7121,30.1465
1.7426,30.64406
1.7731,31.14648
1.8036,31.64404
1.8340,32.4394
1.8645,33.23127
1.8950,34.02808
1.9255,34.81995
1.9560,35.61674
1.9864,36.53747
2.0169,37.45287
2.0474,38.37396
2.0779,39.28936
2.1084,40.21045
2.1388,41.10641
2.1693,42.01111
2.1998,42.90709
2.2303,43.81177
2.2608,44.71489
2.2912,45.53655
2.3217,46.36626
2.3522,47.18794
2.3827,48.01763
2.4132,48.83933
2.4436,49.32984
2.4741,49.81546
2.5046,50.30411
2.5351,50.78973
2.5656,51.27837
2.5960,51.32377
2.6265,51.36726
2.6570,51.41101
2.6875,51.45449
2.7180,51.49824
2.7484,51.37185
2.7789,51.24593
2.8094,51.11922
2.8399,50.99329
2.8704,50.86659
2.9008,50.75051
2.9313,50.6333
2.9618,50.51722
2.9923,50.40001
3.0228,50.28393
3.0532,50.15326
3.0837,50.0233
3.1142,49.89254
3.1447,49.76154
3.1752,49.63181
3.2056,49.53272
3.2361,49.43438
3.2666,49.33543
3.2971,49.23708
3.3276,49.13813
3.3580,49.15824
3.3885,49.17853
3.4190,49.19894
3.4495,49.21923
3.4800,49.23965
3.5104,49.34743
3.5409,49.45632
3.5714,49.56416
3.6019,49.67305
3.6324,49.7809
3.6628,49.90271
3.6933,50.02482
3.7238,50.14575
3.7543,50.26786
3.7848,50.3888
3.8152,50.58565
3.8457,50.78166
3.8762,50.97889
3.9067,51.1749
3.9372,51.37212
3.9676,51.68042
3.9981,51.98716
4.0286,52.2958
4.0591,52.60254
4.0896,52.91117
4.1200,53.18813
4.1505,53.46775
4.1810,53.74689
4.2115,54.0243
4.2420,54.30342
4.2724,54.55725
4.3029,54.81357
4.3334,55.0674
4.3639,55.32371
4.3944,55.57755
4.4248,55.93589
4.4553,56.29259
4.4858,56.65151
4.5163,57.00821
4.5468,57.36712
4.5772,57.79425
4.6077,58.21898
4.6382,58.64635
4.6687,59.07108
4.6992,59.49845
4.7296,59.70612
4.7601,59.91209
4.7906,60.11934
4.8211,60.32531
4.8516,60.53256
4.8820,60.27394
4.9125,60.01277
4.9430,59.75413
4.9735,59.49296
5.0040,59.23431
5.0344,58.76227
5.0649,58.29184
5.0954,57.81849
5.1259,57.3443
5.1564,56.87469
5.1868,56.61354
5.2173,56.35492
5.2478,56.09468
5.2783,55.83606
5.3088,55.57583
5.3392,55.64448
5.3697,55.71353
5.4002,55.783
5.4307,55.85205
5.4612,55.92154
5.4916,56.1553
5.5221,56.39147
5.5526,56.62535
5.5831,56.86152
5.6136,57.09541
5.6440,57.43784
5.6745,57.78162
5.7050,58.12207
5.7355,58.46584
5.7660,58.80629
5.7964,58.68782
5.8269,58.56779
5.8574,58.44702
5.8879,58.327
5.9184,58.20623
5.9488,58.10687
5.9793,58.00819
6.0098,57.90891
6.0403,57.81023
6.0708,57.71095
6.1012,57.83852
6.1317,57.96764
6.1622,58.09655
6.1927,58.22465
6.2232,58.3532
6.2536,57.84171
6.2841,57.32521
6.3146,56.81371
6.3451,56.29723
6.3756,55.78571
6.4060,55.63643
6.4365,55.49009
6.4670,55.34286
6.4975,55.19653
6.5280,55.0493
6.5584,54.94486
6.5889,54.84123
6.6194,54.73696
6.6499,54.63333
6.6804,54.52906
6.7108,54.03589
6.7413,53.54503
6.7718,53.05111
6.8023,52.56025
6.8328,52.06633
6.8632,52.18184
6.8937,52.29852
6.9242,52.41408
6.9547,52.53076
6.9852,52.64632
7.0156,53.20763
7.0461,53.76824
7.0766,54.33233
7.1071,54.89742
7.1376,55.45705
7.1680,55.79168
7.1985,56.12325
7.2290,56.45689
7.2595,56.78845
7.2900,57.12208
7.3204,56.84352
7.3509,56.56513
7.3814,56.285
7.4119,56.00661
7.4424,55.72648
7.4728,55.17633
7.5033,54.62061
7.5338,54.07025
7.5643,53.51453
7.5948,52.96416
7.6252,52.80103
7.6557,52.6403
7.6862,52.48114
7.7167,52.32042
7.7472,52.16125
7.7776,52.70831
7.8081,53.25552
7.8386,53.80613
7.8691,54.35334
7.8996,54.90395
7.9300,55.44382
7.9605,55.9803
7.9910,56.52013
8.0215,57.05662
8.0520,57.59644
8.0824,57.15294
8.1129,56.70377
