#HOLE:,U1517A
#EXPEDITION:,372
#TOP:,0.1348
#BOTTOM:,188.1964
DEPTH_LSF,UCAV
m,in
0.1348,8.671005
0.2872,8.791258
0.4396,9.234136
0.5920,9.187814
0.7444,8.867629
0.8968,8.889997
1.0492,8.868129
1.2016,8.916947
1.3540,8.958128
1.5064,9.044688
1.6588,9.426934
1.8112,9.225904
1.9636,9.189378
2.1160,9.23678
2.2684,9.16474
2.4208,9.123997
2.5732,9.10693
2.7256,9.028781
2.8780,9.231653
3.0304,9.121852
3.1828,8.869075
3.3352,9.077502
3.4876,9.151563
3.6400,9.178906
3.7924,9.13648
3.9448,8.90044
4.0972,9.205897
4.2496,9.04267
4.4020,9.007496
4.5544,8.988491
4.7068,8.802139
4.8592,8.901235
5.0116,8.768938
5.1640,8.88975
5.3164,8.887499
5.4688,8.831072
5.6212,8.775753
5.7736,8.747293
5.9260,8.716775
6.0784,8.764368
6.2308,8.880887
6.3832,8.855827
6.5356,8.953785
6.6880,9.157351
6.8404,9.203551
6.9928,9.123552
7.1452,9.2783
7.2976,9.392083
7.4500,9.367877
7.6024,9.54072
7.7548,9.444072
7.9072,9.538427
8.0596,9.311877
8.2120,9.380189
8.3644,9.251486
8.5168,9.174399
8.6692,9.324492
8.8216,9.70311
8.9740,9.974066
9.1264,9.71333
9.2788,9.616965
9.4312,9.643811
9.5836,9.230997
9.7360,9.556977
9.8884,9.437516
10.0408,9.221154
10.1932,9.679179
10.3456,9.738203
10.4980,10.16899
10.6504,10.1979
10.8028,10.94326
10.9552,11.86759
11.1076,11.1125
11.2600,10.90594
11.4124,10.81421
11.5648,10.13607
11.7172,10.26716
11.8696,10.16292
12.0220,10.19946
12.1744,10.7209
12.3268,10.51665
12.4792,11.20378
12.6316,10.6661
12.7840,9.539139
12.9364,9.383821
13.0888,9.609594
13.2412,10.22032
13.3936,10.04304
13.5460,10.06028
13.6984,9.763157
13.8508,9.733176
14.0032,9.60873
14.1556,9.519781
14.3080,9.67626
14.4604,9.733719
14.6128,9.496908
14.7652,9.817616
14.9176,9.628489
15.0700,9.347083
15.2224,9.25935
15.3748,9.130006
15.5272,9.087973
15.6796,9.042713
15.8320,9.048582
15.9844,9.206471
16.1368,9.208334
16.2892,9.210856
16.4416,9.355617
16.5940,9.29468
16.7464,9.212179
16.8988,9.083749
17.0512,9.045358
17.2036,9.074165
17.3560,9.042002
17.5084,9.089995
17.6608,9.099999
17.8132,9.097708
17.9656,9.095973
18.1180,8.972529
18.2704,9.136236
18.4228,9.040786
18.5752,9.084463
18.7276,9.07025
18.8800,9.07375
19.0324,9.09025
19.1848,9.034376
19.3372,9.103745
19.4896,9.189741
19.6420,9.239994
19.7944,9.193131
19.9468,9.22134
20.0992,9.662459
20.2516,9.426679
20.4040,9.510596
