#HOLE:,U1520B
#EXPEDITION:,372
#TOP:,0.0165
#BOTTOM:,756.3170
DEPTH_LSF,GR_RAB
m,gAPI
9.5262,78.41041
9.5567,78.37298
9.5872,78.33933
9.6177,78.30592
9.6482,78.27231
9.6786,78.2389
9.7091,78.20528
9.7396,78.17482
9.7701,78.14455
9.8006,78.11411
9.8310,78.08385
9.8615,78.05341
9.8920,78.04244
9.9225,78.03156
9.9530,78.02062
9.9834,78.00974
10.0139,77.99882
10.0444,78.01507
10.0749,78.03149
10.1054,78.04774
10.1358,78.06416
10.1663,78.08042
10.1968,78.10558
10.2273,78.13063
10.2578,78.15584
10.2882,78.18109
10.3187,78.2061
10.3492,78.22758
10.3797,78.2489
10.4102,78.27036
10.4406,78.29168
10.4711,78.31314
10.5016,78.4199
10.5321,78.52618
10.5626,78.63312
10.5930,78.7394
10.6235,78.84634
10.6540,79.10687
10.6845,79.37001
10.7150,79.6306
10.7454,79.89373
10.7759,80.15649
10.8064,80.4654
10.8369,80.77734
10.8674,81.08627
10.8978,81.39821
10.9283,81.70713
10.9588,82.0287
10.9893,82.34833
11.0198,82.66995
11.0502,82.98959
11.0807,83.3112
11.1112,83.56879
11.1417,83.82462
11.1722,84.08202
11.2026,84.33784
11.2331,84.59525
11.2636,84.61849
11.2941,84.64174
11.3246,84.66494
11.3550,84.688
11.3855,84.71107
11.4160,84.58027
11.4465,84.44818
11.4770,84.31738
11.5074,84.1853
11.5379,84.05449
11.5684,83.90749
11.5989,83.76131
11.6294,83.61423
11.6598,83.46806
11.6903,83.32098
11.7208,83.1728
11.7513,83.02553
11.7818,82.87736
11.8122,82.73009
11.8427,82.58191
11.8732,82.49438
11.9037,82.40748
11.9342,82.32004
11.9646,82.23314
11.9951,82.14573
12.0256,82.18353
12.0561,82.22169
12.0866,82.25948
12.1170,82.29765
12.1475,82.33545
12.1780,82.43764
12.2085,82.53957
12.2390,82.64214
12.2694,82.74489
12.2999,82.84664
12.3304,82.9548
12.3609,83.06232
12.3914,83.1705
12.4218,83.27802
12.4523,83.3862
12.4828,83.42528
12.5133,83.46396
12.5438,83.50289
12.5742,83.54157
12.6047,83.5805
12.6352,83.45628
12.6657,83.33077
12.6962,83.20648
12.7266,83.08099
12.7571,82.95555
12.7876,82.73082
12.8181,82.50388
12.8486,82.27915
12.8790,82.05222
12.9095,81.82748
12.9400,81.6015
12.9705,81.37692
13.0010,81.15093
13.0314,80.92635
13.0619,80.70038
13.0924,80.59534
13.1229,80.49129
13.1534,80.38658
13.1838,80.28254
13.2143,80.17783
13.2448,80.27139
13.2753,80.36604
13.3058,80.46055
13.3362,80.55446
13.3667,80.64902
13.3972,80.82349
13.4277,80.99966
13.4582,81.17412
13.4886,81.35028
13.5191,81.52474
13.5496,81.68629
13.5801,81.84674
13.6106,82.00821
13.6410,82.16866
13.6715,82.33012
13.7020,82.50542
13.7325,82.6797
13.7630,82.85504
13.7934,83.02931
13.8239,83.20466
13.8544,83.41824
13.8849,83.63055
13.9154,83.84418
13.9458,84.0565
13.9763,84.27013
14.0068,84.49232
14.0373,84.71667
14.0678,84.93887
14.0982,85.16323
14.1287,85.38542
14.1592,85.59243
14.1897,85.79807
14.2202,86.00497
14.2506,86.21224
14.2811,86.41751
14.3116,86.63196
14.3421,86.84511
14.3726,87.05959
14.4030,87.27274
14.4335,87.48721
14.4640,87.73394
14.4945,87.9792
14.5250,88.226
14.5554,88.47126
14.5859,88.71805
14.6164,88.97199
14.6469,89.22842
14.6774,89.48237
14.7078,89.73878
14.7383,89.9947
14.7688,90.1964
14.7993,90.40008
14.8298,90.60178
14.8602,90.80544
14.8907,91.00715
14.9212,91.11559
14.9517,91.22291
14.9822,91.33089
15.0126,91.43821
15.0431,91.5462
15.0736,91.60619
15.1041,91.66568
15.1346,91.72553
15.1650,91.78502
15.1955,91.84487
15.2260,91.90975
15.2565,91.97527
15.2870,92.04069
15.3174,92.1057
15.3479,92.17101
15.3784,92.12687
15.4089,92.08231
15.4394,92.03817
15.4698,91.99361
15.5003,91.94948
15.5308,91.62989
15.5613,91.31082
15.5918,90.98978
15.6222,90.67072
15.6527,90.34969
15.6832,89.79787
15.7137,89.24869
15.7442,88.6961
15.7746,88.14691
15.8051,87.59432
15.8356,87.11902
15.8661,86.64679
15.8966,86.17162
15.9270,85.69939
15.9575,85.2243
15.9880,85.07173
16.0185,84.91767
16.0490,84.76511
16.0794,84.61105
16.1099,84.45847
16.1404,84.47919
16.1709,84.50098
16.2014,84.52254
16.2318,84.54433
16.2623,84.5659
16.2928,84.59058
16.3233,84.61512
16.3538,84.63981
16.3842,84.66434
16.4147,84.68904
16.4452,84.76987
16.4757,84.85033
16.5062,84.9313
16.5366,85.01176
16.5671,85.09271
16.5976,85.30851
16.6281,85.52647
16.6586,85.74232
16.6890,85.96027
16.7195,86.17802
16.7500,86.50497
16.7805,86.83511
16.8110,87.16207
16.8414,87.49222
16.8719,87.81917
16.9024,88.21383
16.9329,88.60635
16.9634,89.00131
16.9938,89.39383
17.0243,89.78879
17.0548,89.94518
17.0853,90.09993
17.1158,90.25565
17.1462,90.4104
17.1767,90.56612
17.2072,90.01978
17.2377,89.46738
17.2682,88.91595
17.2986,88.36793
17.3291,87.81595
17.3596,86.6165
17.3901,85.4053
17.4206,84.20584
17.4510,82.99467
17.4815,81.79517
17.5120,80.76428
17.5425,79.74069
17.5730,78.71074
17.6034,77.68715
17.6339,76.6572
17.6644,76.58644
17.6949,76.51942
17.7254,76.452
17.7558,76.38499
17.7863,76.31755
17.8168,76.85706
17.8473,77.39419
17.8778,77.93466
17.9082,78.47179
17.9387,79.01228
17.9692,79.59793
17.9997,80.18932
18.0302,80.77498
18.0606,81.36636
18.0911,81.95203
18.1216,82.58235
18.1521,83.21403
18.1826,83.83957
18.2130,84.47124
18.2435,85.09679
18.2740,85.53278
18.3045,85.96529
18.3350,86.40048
18.3654,86.83298
18.3959,87.26818
18.4264,87.16028
18.4569,87.05185
18.4874,86.94273
18.5178,86.8343
18.5483,86.7252
18.5788,86.27812
18.6093,85.82655
18.6398,85.37932
18.6702,84.92776
18.7007,84.4769
18.7312,83.99701
18.7617,83.51241
18.7922,83.03252
18.8226,82.54793
18.8531,82.06802
18.8836,81.57816
18.9141,81.09127
18.9446,80.60136
18.9750,80.11449
19.0055,79.62459
19.0360,79.24911
