#HOLE:,U1517A
#EXPEDITION:,372
#TOP:,0.1348
#BOTTOM:,186.8248
DEPTH_LSF,P16B,P16H,P16L,P22B,P22H,P22L,P28B,P28H,P28L,P34B,P34H,P34L,P40B,P40H,P40L
m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m
0.1348,0.6091384,0.6064196,0.6091382,0.6253901,0.6281822,0.6253899,0.6333112,0.6420433,0.6333109,0.63544,0.6463744,0.6354398,0.6400686,0.6501765,0.6400686
0.2872,0.6275796,0.6068227,0.6275795,0.6465451,0.6323396,0.6465451,0.6545984,0.6497709,0.6545984,0.6547334,0.6555047,0.6547333,0.6578153,0.6590399,0.6578153
0.4396,0.6441994,0.6106266,0.6441993,0.6631178,0.6329208,0.6631177,0.6741378,0.6500505,0.6741377,0.6784952,0.6583931,0.6784952,0.6840639,0.664154,0.6840639
0.5920,0.6638923,0.6197085,0.6638923,0.6810166,0.637017,0.6810166,0.6930109,0.653297,0.6930109,0.6991736,0.6625299,0.6991736,0.7043573,0.666172,0.7043573
0.7444,0.682845,0.6308404,0.6828447,0.6978993,0.6453219,0.6978991,0.709838,0.6593367,0.7098377,0.7171954,0.6687644,0.7171952,0.7224386,0.6743891,0.7224386
0.8968,0.7316166,0.6941157,0.7316165,0.7454407,0.7123915,0.7454407,0.7563808,0.728494,0.7563807,0.7623954,0.7406241,0.7623953,0.7660716,0.7515497,0.7660716
1.0492,0.761301,0.738197,0.761301,0.7765371,0.7512585,0.7765371,0.7890006,0.7625529,0.7890005,0.7959843,0.7693034,0.7959842,0.799896,0.7735929,0.799896
1.2016,0.8044546,0.7923478,0.8044544,0.8153483,0.7983336,0.8153483,0.8263785,0.8080852,0.8263784,0.832787,0.8144546,0.832787,0.8340284,0.8135097,0.8340284
1.3540,0.8447148,0.8488498,0.8447148,0.853703,0.8560513,0.853703,0.864378,0.8656352,0.864378,0.8711455,0.8725157,0.8711455,0.8719187,0.8742352,0.8719187
1.5064,0.9109544,0.9088711,0.9109544,0.9156843,0.9142937,0.9156842,0.9251731,0.9237583,0.9251731,0.9331188,0.9329104,0.9331188,0.9344963,0.9375917,0.9344963
1.6588,0.9784994,0.9785126,0.9784993,0.9849222,0.993964,0.9849221,0.9921103,1.010002,0.9921103,0.9974139,1.020468,0.9974139,0.9997782,1.024678,0.9997782
1.8112,1.016009,1.018868,1.015963,1.027495,1.042513,1.027076,1.035435,1.061263,1.034512,1.037852,1.071258,1.036583,1.037976,1.078076,1.036458
1.9636,1.029492,1.025237,1.029622,1.044615,1.049039,1.04441,1.053832,1.066397,1.053127,1.055155,1.069564,1.054327,1.054077,1.065618,1.053426
2.1160,1.08639,1.055205,1.089454,1.108519,1.092229,1.110544,1.11958,1.116048,1.120062,1.122249,1.125406,1.12181,1.127429,1.135252,1.126298
2.2684,1.097134,1.066746,1.100531,1.116337,1.095101,1.119211,1.126543,1.11049,1.128919,1.132125,1.116471,1.134559,1.141683,1.127171,1.144127
2.4208,1.135802,1.106559,1.140585,1.144681,1.116052,1.149722,1.148828,1.12588,1.152973,1.15991,1.145277,1.162755,1.182673,1.174914,1.184428
2.5732,1.15763,1.147374,1.159578,1.165307,1.148962,1.168622,1.168814,1.158895,1.170857,1.182974,1.183686,1.182815,1.211946,1.215795,1.210917
2.7256,1.140269,1.136065,1.140958,1.17173,1.168476,1.172408,1.189618,1.193889,1.188625,1.208388,1.219957,1.205398,1.241615,1.25586,1.237185
2.8780,1.100309,1.081406,1.102466,1.156021,1.149179,1.157298,1.18633,1.193877,1.184622,1.204681,1.219441,1.200969,1.238779,1.255297,1.23374
3.0304,1.055069,1.004278,1.058208,1.121199,1.090821,1.12556,1.159055,1.144105,1.161942,1.180331,1.169979,1.182643,1.218513,1.213059,1.220051
3.1828,0.9615031,0.8497344,0.9615031,1.032109,0.928561,1.035973,1.070042,0.9733324,1.078252,1.093828,0.9982023,1.105052,1.135254,1.048231,1.150694
3.3352,0.946778,0.822279,0.946778,1.012536,0.8752608,1.014565,1.048038,0.9125378,1.056089,1.072634,0.938482,1.085114,1.108786,0.9744652,1.12861
3.4876,0.9648978,0.8587626,0.9648978,1.012127,0.8906564,1.01383,1.047157,0.9181947,1.054606,1.075907,0.9463271,1.088486,1.105234,0.982059,1.122415
3.6400,1.013121,0.9189514,1.014507,1.050487,0.9471881,1.056696,1.084699,0.9819821,1.09555,1.116951,1.024143,1.130934,1.149966,1.069462,1.165989
3.7924,1.045869,0.989118,1.048779,1.073128,1.009151,1.078584,1.107854,1.043311,1.116352,1.145736,1.091467,1.155747,1.17872,1.140329,1.187585
3.9448,1.063046,1.015159,1.066455,1.082942,1.022875,1.088795,1.11595,1.051465,1.125177,1.152405,1.093445,1.163969,1.177622,1.12727,1.189385
4.0972,1.09243,1.068121,1.094981,1.115084,1.079972,1.119866,1.146865,1.104534,1.154606,1.178615,1.139034,1.187765,1.200173,1.170946,1.207841
4.2496,1.105819,1.064273,1.111007,1.138726,1.093999,1.146397,1.172784,1.129143,1.182528,1.203696,1.165241,1.214177,1.229421,1.197865,1.239351
