#HOLE:,U1520B
#EXPEDITION:,372
#TOP:,0.1079
#BOTTOM:,749.0018
DEPTH_LSF,A16B,A16H,A16L,A22B,A22H,A22L,A28B,A28H,A28L,A34B,A34H,A34L,A40B,A40H,A40L
m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m
4.9847,0.3955353,1.971484,0.3955353,0.4283683,2.415982,0.4283684,0.4279401,1.759517,0.4279401,0.1474176,0.2847202,0.1474176,0.1911986,0.2284014,0.1911986
5.1371,0.3952877,1.742947,0.3952877,0.4288542,2.153523,0.4288542,0.4280058,1.582812,0.4280058,0.1474173,0.2805069,0.1474174,0.1911977,0.2274903,0.1911977
5.2895,0.3956487,1.979782,0.3956487,0.4280118,2.446789,0.4280118,0.4278521,1.7785,0.4278521,0.1474185,0.2853245,0.1474185,0.1912029,0.2286869,0.1912029
5.4419,0.3958481,1.972163,0.3958481,0.4276224,2.422086,0.4276224,0.4277792,1.753505,0.4277792,0.1474192,0.2846277,0.1474191,0.1912066,0.2285301,0.1912066
5.5943,0.3958814,1.997437,0.3958814,0.4275921,2.448,0.4275921,0.4277735,1.766283,0.4277735,0.147419,0.2848003,0.147419,0.1912038,0.2285543,0.1912038
5.7467,0.3957394,1.96286,0.3957394,0.4278792,2.427676,0.4278791,0.4278246,1.763036,0.4278246,0.1474189,0.2849292,0.1474189,0.1912055,0.2286143,0.1912055
5.8991,0.3958919,2.017637,0.3958919,0.4273868,2.477172,0.4273868,0.4277108,1.801746,0.4277108,0.1474198,0.2859899,0.1474198,0.1912093,0.2288283,0.1912093
6.0515,0.3960834,2.037479,0.3960834,0.4272094,2.483451,0.4272094,0.4276634,1.807342,0.4276634,0.1474207,0.2860738,0.1474207,0.1912149,0.228774,0.1912149
6.2039,0.3959041,1.986317,0.3959041,0.4274061,2.474007,0.4274061,0.427702,1.80587,0.427702,0.14742,0.2859257,0.14742,0.19121,0.228764,0.19121
6.3563,0.3959647,2.024206,0.3959647,0.4273607,2.496438,0.4273607,0.427712,1.820711,0.427712,0.1474198,0.2864311,0.1474198,0.1912085,0.2288995,0.1912085
6.5087,0.3961323,2.023474,0.3961322,0.4270651,2.466471,0.4270651,0.4276394,1.796098,0.4276394,0.1474206,0.285914,0.1474206,0.1912123,0.2287715,0.1912123
6.6611,0.3962181,2.141197,0.3962181,0.4267871,2.611857,0.4267871,0.4275623,1.897769,0.4275623,0.1474214,0.2883232,0.1474214,0.1912159,0.2293822,0.1912159
6.8135,0.396186,2.104033,0.396186,0.4267721,2.577539,0.4267721,0.4275581,1.873576,0.4275581,0.1474213,0.2875738,0.1474213,0.1912143,0.229148,0.1912143
6.9659,0.3963362,2.113084,0.3963362,0.4265784,2.572202,0.4265784,0.4275331,1.870064,0.4275331,0.1474215,0.2875166,0.1474215,0.1912153,0.2291047,0.1912153
7.1183,0.3962005,2.103768,0.3962005,0.4267458,2.574274,0.4267458,0.4275317,1.874413,0.4275317,0.1474218,0.2876934,0.1474218,0.1912172,0.2291779,0.1912172
7.2707,0.3962116,2.119017,0.3962116,0.4267503,2.60259,0.4267503,0.4275621,1.894587,0.4275621,0.1474214,0.2881907,0.1474214,0.1912163,0.2293307,0.1912163
7.4231,0.9589409,0.9338648,0.9589409,0.953743,0.9376131,0.9537429,0.9557829,0.9399856,0.9557829,0.9594235,0.936477,0.9594235,0.9591032,0.9283856,0.9591032
7.5755,0.9541615,0.9670526,0.9541615,0.9596683,0.9785657,0.9596683,0.9592436,0.9855903,0.9592436,0.9596598,0.9917536,0.9596598,0.9647242,1.000782,0.9647242
7.7279,0.961751,0.9873148,0.9617509,0.9584392,0.9818915,0.9584392,0.9565204,0.9806597,0.9565204,0.9563391,0.9828963,0.9563391,0.9569392,0.9848133,0.9569392
7.8803,0.9490234,0.9874199,0.9490233,0.9555073,0.989728,0.9555073,0.9576048,0.9902567,0.9576048,0.9564936,0.995147,0.9564936,0.9551805,1.006464,0.9551805
8.0327,0.9379999,0.9301154,0.9379999,0.9491869,0.9421462,0.9491869,0.9518373,0.9440728,0.9518373,0.9546012,0.9431192,0.9546012,0.9626464,0.9481646,0.9626464
8.1851,0.9292938,0.9249798,0.9292938,0.9423597,0.9337622,0.9423597,0.9466659,0.9356151,0.9466659,0.9498931,0.9378479,0.9498931,0.9572642,0.9463946,0.9572642
8.3375,0.9179874,0.8941641,0.9179873,0.9253244,0.8967182,0.9253243,0.9314926,0.900904,0.9314925,0.9347521,0.9040281,0.934752,0.9351168,0.9042411,0.9351168
8.4899,0.9251356,0.9095876,0.9251356,0.9409919,0.9179279,0.9409919,0.9447263,0.9211247,0.9447263,0.9444235,0.9243723,0.9444234,0.9481402,0.9319168,0.9481402
8.6423,0.9342816,0.9140522,0.9342816,0.9420308,0.9198255,0.9420308,0.946454,0.9238768,0.946454,0.9491171,0.9277854,0.9491171,0.9516349,0.9326854,0.9516349
8.7947,0.9512975,0.953152,0.9512973,0.9545503,0.9569681,0.9545502,0.9597063,0.9607311,0.9597062,0.9655566,0.9631446,0.9655564,0.9696757,0.9639726,0.9696757
8.9471,0.9265102,0.9152961,0.9265099,0.932866,0.9214324,0.9328658,0.942091,0.9287955,0.9420908,0.949814,0.9343243,0.9498139,0.9525169,0.936351,0.9525169
9.0995,0.9398469,0.9338624,0.9398469,0.9480706,0.937426,0.9480705,0.9557168,0.945926,0.9557167,0.9607393,0.9524544,0.9607392,0.9624696,0.9519433,0.9624696
