#HOLE:,U1520A,,
#EXPEDITION:,372,,
#TOP:,36.0936,,
#BOTTOM:,99.1873,,
DEPTH_LSF,DHAP,DHAT,ECD
m,psi,degC,g/cm3
36.0936,5275.011755,1,3.438781
36.246,5273.192978,1,3.386987
36.3984,5269.010082,1,3.267742
36.5508,5269.720768,1,3.272349
36.7032,5270.72008,1,3.278846
36.8556,5271.722293,1,3.285352
37.008,5272.724505,1,3.291859
37.1604,5273.726718,1,3.298367
37.3128,5274.728931,1,3.304873
37.4652,5275.728242,1,3.31137
37.6176,5276.730455,1,3.317877
37.77,5278.00969,1,3.326181
37.9224,5279.906787,1,3.356221
38.0748,5282.523273,1,3.397648
38.2272,5285.009224,1,3.430071
38.3796,5285.009224,1,3.41757
38.532,5290.008684,1,3.506714
38.6844,5286.012887,1,3.409018
38.8368,5284.011363,1,3.352222
38.9892,5282.009838,1,3.286218
39.1416,5287.009298,1,3.384833
39.294,5286.011437,1,3.341052
39.4464,5288.00861,1,3.367539
39.5988,5286.009986,1,3.311502
39.7512,5285.009224,1,3.275243
39.9036,5284.008462,1.000441,3.243707
40.056,5282.011289,1.999211,3.186297
40.2084,5278.011141,2,3.087917
40.3608,5280.009764,2,3.114178
40.5132,5280.008314,2,3.100471
40.6656,5277.010378,2,3.032116
40.818,5279.007552,2,3.05404
40.9704,5278.00969,2,3.020193
41.1228,5281.009076,2,3.071366
41.2752,5275.011755,2,2.935897
41.4276,5280.006863,2,3.020425
41.58,5281.009076,2,3.027528
41.7324,5280.009764,2,2.995013
41.8848,5282.011289,2,3.024075
42.0372,5284.008462,2,3.054823
42.1896,5285.009224,2,3.053922
42.342,5284.009912,2,3.021389
42.4944,5281.010526,2,2.950091
42.6468,5282.011289,2,2.957224
42.7992,5284.008462,2,2.988079
42.9516,5285.009224,2,2.991577
43.104,5282.009838,2,2.923586
43.2564,5285.010674,2,2.967643
43.4088,5288.007159,2,3.010892
43.5612,5284.011363,2,2.928894
43.7136,5283.00915,2,2.893452
43.866,5285.009224,2,2.918634
44.0184,5284.009912,2,2.887882
44.1708,5284.009912,2,2.882642
44.3232,5285.009224,2,2.885587
44.4756,5285.010674,2,2.873585
44.628,5290.005783,2,2.952008
44.7804,5284.012813,2,2.835812
44.9328,5287.009298,2,2.876346
45.0852,5288.01006,2,2.88037
45.2376,5289.009372,2,2.887812
45.39,5288.01006,2,2.863668
45.5424,5291.009446,2,2.902067
