#HOLE:,U1528D
#EXPEDITION:,376
#TOP:,0.0229
#BOTTOM:,325.0921
DEPTH_WMSF,HSGR,HCGR,HFK,HTHO,HURA,HBHK
m,gAPI,gAPI,%,ppm,ppm,%
12.0625,4.189675,5.22426,0.04755498,1.395968,-0.1146104,-0.0436
12.2149,3.726511,4.885165,0.05490106,1.244278,-0.1280764,-0.0436
12.3673,4.298384,5.572821,0.07590874,1.341681,-0.156307,-0.0436
12.5197,5.038443,6.170968,0.08305454,1.491552,-0.1335418,-0.0436
12.6721,4.719884,5.829524,0.06560402,1.484285,-0.1570425,-0.0436
12.8245,4.154348,5.08181,0.05997825,1.277578,-0.1522301,-0.0436
12.9769,3.549434,4.233973,0.04986008,1.065083,-0.1056,-0.0436
13.1293,3.646611,4.126263,0.04959654,1.032105,-0.08716918,-0.0436
13.2817,4.205079,4.737916,0.05080247,1.22108,-0.08715334,-0.0436
13.4341,4.207328,4.126592,0.02925032,1.15133,0.01139682,-0.0436
13.5865,4.532822,4.036828,0.02507344,1.147015,0.08755236,-0.0436
13.7389,4.375772,2.669557,0.0348548,0.6515355,0.2043025,-0.0436
13.8913,4.123247,2.15167,0.04595299,0.4205758,0.2435081,-0.0436
14.0437,3.836692,1.726991,0.03141515,0.3695793,0.299588,-0.0436
14.1961,4.486024,2.218567,0.04559845,0.4440921,0.3097431,-0.0436
14.3485,4.886059,2.205144,0.04279347,0.4562125,0.3687753,-0.0436
14.5009,5.025307,2.473463,0.04008103,0.5580893,0.369788,-0.0436
14.6533,5.038343,2.125078,0.0273289,0.5210907,0.4082035,-0.0436
14.8057,5.187844,2.472837,0.02970484,0.6186376,0.4238883,-0.0436
14.9581,4.876074,2.6837,0.02863831,0.6924639,0.357436,-0.0436
15.1105,4.017934,2.377684,0.03394054,0.5633423,0.2865688,-0.0436
15.2629,3.556214,2.504604,0.03644349,0.5893664,0.1978487,-0.0436
15.4153,3.951599,3.000306,0.03916368,0.7323141,0.2237161,-0.0436
15.5677,4.039498,2.830591,0.03100173,0.7257057,0.2484741,-0.0436
15.7201,5.108823,3.953285,0.05418785,0.9497846,0.2159432,-0.0436
15.8725,5.301863,4.658087,0.08376589,1.002506,0.1588884,-0.0436
16.0249,5.474279,4.693367,0.09427606,0.9522802,0.1769699,-0.0436
16.1773,4.799998,4.072192,0.08487667,0.8082221,0.1464404,-0.0436
16.3297,4.159856,3.569962,0.07729939,0.6916188,0.1219948,-0.0436
16.4821,4.855863,4.125581,0.08105248,0.8477231,0.1200443,-0.0436
16.6345,4.776933,4.085326,0.09930391,0.7279654,0.09681169,-0.0436
16.7869,4.717956,3.998,0.09078512,0.7498516,0.08262837,-0.0436
16.9393,3.713773,2.826863,0.07328914,0.4769332,0.1036768,-0.0436
17.0917,3.458117,2.363922,0.06113449,0.3997205,0.1076298,-0.0436
17.2441,3.613889,2.499221,0.06302245,0.432031,0.1192127,-0.0436
17.3965,3.87943,2.208172,0.05256413,0.3999789,0.2223006,-0.0436
17.5489,4.125114,1.482568,0.02880518,0.3065217,0.3426023,-0.0436
17.7013,4.130747,1.963554,0.03274903,0.437589,0.2785407,-0.0436
17.8537,4.463671,1.971985,0.02550591,0.482697,0.3343752,-0.0436
18.0061,4.374331,2.115845,0.02937012,0.5061809,0.3318109,-0.0436
18.1585,4.732854,2.162663,0.04022591,0.4576291,0.3860014,-0.0436
18.3109,4.729989,1.778757,0.03097289,0.3887596,0.4236137,-0.0436
18.4633,4.932013,1.65552,0.03149366,0.3462132,0.4382828,-0.0436
18.6157,4.107737,1.744548,0.0288224,0.390386,0.3177481,-0.0436
