#HOLE:,U1517A
#EXPEDITION:,372
#TOP:,0.4396
#BOTTOM:,185.9104
DEPTH_LSF,BPHI,TNPH
m,%,%
0.4396,78.2805,76.5830
0.5920,76.7572,73.0690
0.7444,82.5710,87.7254
0.8968,76.0455,74.5799
1.0492,74.2058,73.4775
1.2016,70.6079,69.6173
1.3540,65.5683,62.5157
1.5064,62.6393,59.6429
1.6588,67.6515,70.6774
1.8112,63.6945,63.7933
1.9636,60.3130,57.6844
2.1160,57.9335,54.8264
2.2684,61.3295,60.9329
2.4208,57.5643,54.6625
2.5732,62.9634,63.7914
2.7256,60.0642,58.0242
2.8780,62.4901,61.5019
3.0304,64.4231,64.7078
3.1828,60.3118,56.6177
3.3352,63.1684,61.2927
3.4876,62.8414,60.0435
3.6400,63.4005,61.2498
3.7924,65.6361,67.2659
3.9448,62.7837,63.4482
4.0972,61.2920,61.1606
4.2496,62.2335,63.1821
4.4020,66.3928,70.9639
4.5544,63.8468,64.2961
4.7068,64.5331,64.2439
4.8592,66.3093,66.0663
5.0116,65.3106,62.0391
5.1640,71.8013,73.7064
5.3164,71.3961,72.6080
5.4688,71.5673,72.6109
5.6212,75.4838,82.4761
5.7736,64.1350,60.4969
5.9260,63.1142,60.9981
6.0784,61.0943,59.1853
6.2308,54.9038,50.2972
6.3832,57.1089,55.5126
6.5356,57.2492,57.2333
6.6880,54.5053,53.6998
6.8404,54.8170,55.5368
6.9928,51.6127,51.3717
7.1452,53.4847,54.2583
7.2976,53.7212,54.1323
7.4500,56.4527,57.7131
7.6024,63.5196,71.7292
7.7548,62.2170,67.7533
7.9072,65.4986,75.2760
8.0596,54.8469,53.7297
8.2120,53.2455,51.0524
8.3644,59.2317,60.6473
8.5168,54.6785,52.2228
8.6692,58.3757,57.8256
8.8216,57.0143,55.2348
8.9740,59.4258,57.0657
9.1264,60.5678,57.6870
9.2788,65.9735,65.2168
9.4312,64.4268,59.7879
9.5836,68.1805,64.6095
9.7360,73.1943,74.5117
9.8884,67.8975,63.5762
10.0408,64.3700,59.8056
10.1932,63.6269,61.0140
10.3456,66.7033,68.7110
10.4980,64.2532,65.1520
10.6504,61.9886,61.1418
10.8028,65.7456,67.5847
10.9552,65.0438,66.2681
11.1076,62.2671,60.3593
11.2600,61.5518,58.6474
11.4124,63.2962,62.0806
11.5648,61.4040,59.1258
11.7172,60.2560,57.6848
11.8696,60.7694,58.8960
12.0220,62.8586,62.1062
12.1744,66.3161,68.5644
12.3268,66.0599,67.1492
12.4792,63.7026,60.6835
12.6316,69.2298,70.2211
12.7840,67.4964,67.4871
12.9364,62.8462,59.9299
13.0888,62.3187,60.2850
13.2412,63.5322,66.0944
13.3936,58.6241,59.7132
13.5460,54.4063,53.8584
13.6984,55.1156,55.3701
13.8508,52.7707,51.3316
14.0032,54.9847,54.9162
14.1556,59.2966,61.3446
14.3080,59.2375,59.4987
14.4604,64.7656,68.9836
14.6128,59.7519,57.9330
14.7652,60.8618,58.8643
14.9176,62.9487,63.2126
15.0700,60.5890,59.7807
15.2224,58.4333,57.3473
15.3748,56.8924,56.4153
15.5272,55.6707,55.6135
15.6796,54.6680,54.7835
15.8320,59.1823,63.7641
15.9844,55.3892,56.8771
16.1368,53.7516,53.5951
16.2892,53.9540,54.4466
16.4416,56.3723,59.0172
16.5940,52.1064,52.1446
16.7464,52.1211,52.7584
16.8988,51.0467,51.8589
17.0512,54.9044,58.6807
17.2036,45.3981,43.3460
17.3560,49.9950,50.4877
17.5084,48.4241,48.0149
17.6608,54.1089,56.4047
17.8132,51.1088,50.7690
17.9656,55.1164,57.8046
18.1180,53.1208,53.8699
18.2704,48.7481,46.8598
18.4228,54.7572,56.2401
18.5752,51.6717,49.8945
18.7276,54.2556,52.8327
18.8800,58.4117,59.2052
19.0324,60.3529,61.5979
19.1848,56.2465,54.4945
19.3372,56.5331,55.4664
19.4896,55.5078,54.6718
19.6420,52.6909,51.2849
19.7944,54.0161,54.1492
19.9468,54.7300,56.0081
20.0992,54.2346,56.1331
20.2516,51.9982,52.3638
20.4040,48.6175,47.3696
20.5564,52.9992,54.3456
20.7088,47.8270,46.6148
20.8612,52.1946,53.8974
21.0136,47.9312,46.9208
21.1660,51.6293,52.6088
21.3184,54.0032,56.6323
21.4708,51.9438,52.6313
21.6232,56.4701,60.4327
21.7756,52.7334,52.2550
21.9280,56.1952,55.9263
22.0804,53.4516,50.1714
22.2328,55.6213,51.7471
22.3852,60.0163,56.5997
22.5376,69.8533,71.7300
22.6900,65.5601,60.0933
22.8424,70.4792,66.3611
22.9948,70.1269,63.5297
23.1472,70.8310,63.1779
23.2996,78.8573,78.1604
23.4520,73.8320,66.6079
23.6044,78.8884,73.0914
23.7568,85.9545,84.6492
23.9092,89.9468,88.5717
24.0616,89.7979,79.9789
24.2140,99.4850,101.7951
24.3664,100.3742,107.4715
24.5188,95.1647,97.6758
24.6712,83.8925,76.8683
24.8236,78.6863,71.8178
24.9760,83.2926,85.1280
25.1284,77.7219,75.5334
25.2808,74.3852,70.4128
25.4332,76.6906,75.0897
25.5856,77.1856,74.8121
25.7380,78.3146,75.2421
25.8904,81.0977,76.9675
26.0428,84.4323,78.0016
26.1952,92.5861,92.1713
26.3476,96.6392,102.1432
26.5000,88.2907,80.8147
26.6524,88.2776,87.8582
26.8048,83.2012,84.9073
26.9572,77.9890,78.5286
27.1096,77.2187,82.0148
27.2620,72.7816,76.2939
